variety_A,variety_B,mean_similarity,family_A,family_B
cat,oci,0.888062,iberian_rom,gallo_romance
vec,ita,0.859693,north_dialects,tuscan
lij,vec,0.848699,north_dialects,north_dialects
spa,por,0.834589,iberian_rom,iberian_rom
spa,cat,0.831854,iberian_rom,iberian_rom
spa,oci,0.831758,iberian_rom,gallo_romance
lmo,vec,0.830409,north_dialects,north_dialects
fur,lmo,0.818201,north_dialects,north_dialects
lmo,cat,0.812800,north_dialects,iberian_rom
lij,ita,0.812246,north_dialects,tuscan
lmo,oci,0.809770,north_dialects,gallo_romance
lij,lmo,0.807174,north_dialects,north_dialects
fur,vec,0.796012,north_dialects,north_dialects
slv,hrv,0.780350,slavic,slavic
fur,lij,0.776319,north_dialects,north_dialects
scn,ita,0.766371,south_dialects,tuscan
lmo,spa,0.763721,north_dialects,iberian_rom
fra,oci,0.762781,gallo_romance,gallo_romance
fur,ita,0.760042,north_dialects,tuscan
lmo,ita,0.757991,north_dialects,tuscan
fur,cat,0.752573,north_dialects,iberian_rom
lij,spa,0.751655,north_dialects,iberian_rom
cat,fra,0.750397,iberian_rom,gallo_romance
vec,spa,0.746211,north_dialects,iberian_rom
lij,scn,0.743366,north_dialects,south_dialects
vec,scn,0.743042,north_dialects,south_dialects
cat,por,0.739057,iberian_rom,iberian_rom
lij,por,0.737497,north_dialects,iberian_rom
lij,oci,0.736789,north_dialects,gallo_romance
vec,cat,0.736024,north_dialects,iberian_rom
lmo,fra,0.735035,north_dialects,gallo_romance
fur,oci,0.733229,north_dialects,gallo_romance
vec,por,0.730458,north_dialects,iberian_rom
lij,cat,0.730392,north_dialects,iberian_rom
sc,spa,0.725762,south_dialects,iberian_rom
fur,fra,0.725728,north_dialects,gallo_romance
lmo,sc,0.724398,north_dialects,south_dialects
lmo,scn,0.723680,north_dialects,south_dialects
lij,sc,0.719729,north_dialects,south_dialects
por,oci,0.717098,iberian_rom,gallo_romance
spa,fra,0.717076,iberian_rom,gallo_romance
vec,oci,0.714355,north_dialects,gallo_romance
lmo,por,0.708883,north_dialects,iberian_rom
vec,sc,0.706903,north_dialects,south_dialects
fur,spa,0.701015,north_dialects,iberian_rom
sc,por,0.700756,south_dialects,iberian_rom
sc,cat,0.697158,south_dialects,iberian_rom
fur,sc,0.696835,north_dialects,south_dialects
sc,oci,0.694266,south_dialects,gallo_romance
lij,fra,0.690324,north_dialects,gallo_romance
scn,sc,0.690110,south_dialects,south_dialects
sc,ita,0.686222,south_dialects,tuscan
fur,scn,0.685259,north_dialects,south_dialects
ita,spa,0.683468,tuscan,iberian_rom
vec,fra,0.673573,north_dialects,gallo_romance
ita,por,0.673466,tuscan,iberian_rom
ita,cat,0.666884,tuscan,iberian_rom
fur,por,0.658258,north_dialects,iberian_rom
scn,cat,0.651888,south_dialects,iberian_rom
sc,fra,0.647630,south_dialects,gallo_romance
ita,oci,0.647286,tuscan,gallo_romance
ita,fra,0.639657,tuscan,gallo_romance
scn,spa,0.635308,south_dialects,iberian_rom
scn,oci,0.632857,south_dialects,gallo_romance
scn,por,0.627544,south_dialects,iberian_rom
por,fra,0.613140,iberian_rom,gallo_romance
fur,eng,0.611014,north_dialects,english
lmo,eng,0.607961,north_dialects,english
scn,fra,0.607477,south_dialects,gallo_romance
vec,slv,0.602527,north_dialects,slavic
lij,eng,0.600450,north_dialects,english
fra,eng,0.599560,gallo_romance,english
vec,eng,0.598408,north_dialects,english
lij,hrv,0.594921,north_dialects,slavic
lij,hun,0.594043,north_dialects,uralic
vec,hrv,0.591224,north_dialects,slavic
cat,eng,0.590146,iberian_rom,english
lij,slv,0.586018,north_dialects,slavic
