,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.338357,0.177696,0.393940,0.220572,0.258200,0.333069,0.138844,0.329514,0.430792,0.338834,0.600967,0.504353,0.572288,0.642771,0.410028
siciliano,0.338357,0.000000,0.364986,0.364356,0.362989,0.380096,0.540081,0.237006,0.509275,0.511758,0.545005,0.514072,0.510398,0.662323,0.541127,0.497227
lombardo,0.177696,0.364986,0.000000,0.437178,0.269286,0.229659,0.294848,0.218552,0.332220,0.388673,0.214195,0.556110,0.451124,0.572652,0.530701,0.550718
sardo,0.393940,0.364356,0.437178,0.000000,0.378885,0.424684,0.426133,0.375998,0.336542,0.439335,0.393646,0.543960,0.440843,0.593262,0.539459,0.529972
ligure,0.220572,0.362989,0.269286,0.378885,0.000000,0.238357,0.341830,0.217670,0.351393,0.454102,0.374987,0.599973,0.494825,0.650600,0.636102,0.513051
friulano,0.258200,0.380096,0.229659,0.424684,0.238357,0.000000,0.434060,0.203367,0.438978,0.317227,0.366396,0.521726,0.500355,0.510312,0.680966,0.548890
ladino,0.333069,0.540081,0.294848,0.426133,0.341830,0.434060,0.000000,0.381195,0.337822,0.378375,0.358935,0.561859,0.493692,0.600856,0.580543,0.457092
italiano,0.138844,0.237006,0.218552,0.375998,0.217670,0.203367,0.381195,0.000000,0.351242,0.422590,0.384748,0.606592,0.548515,0.606531,0.622838,0.583935
spagnolo,0.329514,0.509275,0.332220,0.336542,0.351393,0.438978,0.337822,0.351242,0.000000,0.395285,0.152043,0.577801,0.531970,0.572991,0.677013,0.669695
francese,0.430792,0.511758,0.388673,0.439335,0.454102,0.317227,0.378375,0.422590,0.395285,0.000000,0.263241,0.521328,0.415772,0.572248,0.735330,0.583243
catalano,0.338834,0.545005,0.214195,0.393646,0.374987,0.366396,0.358935,0.384748,0.152043,0.263241,0.000000,0.555588,0.438214,0.611739,0.687484,0.737170
tedesco,0.600967,0.514072,0.556110,0.543960,0.599973,0.521726,0.561859,0.606592,0.577801,0.521328,0.555588,0.000000,0.453692,0.559525,0.628423,0.460372
inglese,0.504353,0.510398,0.451124,0.440843,0.494825,0.500355,0.493692,0.548515,0.531970,0.415772,0.438214,0.453692,0.000000,0.591919,0.737540,0.514261
greco,0.572288,0.662323,0.572652,0.593262,0.650600,0.510312,0.600856,0.606531,0.572991,0.572248,0.611739,0.559525,0.591919,0.000000,0.418900,0.515447
arabo,0.642771,0.541127,0.530701,0.539459,0.636102,0.680966,0.580543,0.622838,0.677013,0.735330,0.687484,0.628423,0.737540,0.418900,0.000000,0.598830
sloveno,0.410028,0.497227,0.550718,0.529972,0.513051,0.548890,0.457092,0.583935,0.669695,0.583243,0.737170,0.460372,0.514261,0.515447,0.598830,0.000000
