code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,italiano,0.1346583366394043,lombardo,0.1711355447769165,ligure,0.2116326093673706
siciliano,italiano,0.22962570190429688,veneto,0.33926188945770264,sardo,0.3694286346435547
lombardo,veneto,0.1711355447769165,catalano,0.21008694171905518,italiano,0.2206728458404541
sardo,spagnolo,0.3355030417442322,ligure,0.36181318759918213,siciliano,0.3694286346435547
ligure,veneto,0.2116326093673706,italiano,0.21486210823059082,friulano,0.23908162117004395
friulano,italiano,0.1984163522720337,lombardo,0.22793638706207275,ligure,0.23908162117004395
ladino,lombardo,0.30408215522766113,veneto,0.3370707035064697,spagnolo,0.33847755193710327
italiano,veneto,0.1346583366394043,friulano,0.1984163522720337,ligure,0.21486210823059082
spagnolo,catalano,0.15094733238220215,veneto,0.32112962007522583,lombardo,0.3264729976654053
francese,catalano,0.260858416557312,friulano,0.3323169946670532,lombardo,0.37764406204223633
catalano,spagnolo,0.15094733238220215,lombardo,0.21008694171905518,francese,0.260858416557312
tedesco,inglese,0.4590158462524414,sloveno,0.47777265310287476,friulano,0.5112794637680054
inglese,francese,0.4178820252418518,catalano,0.44426506757736206,sardo,0.4533175826072693
greco,arabo,0.4220626950263977,sloveno,0.49133414030075073,friulano,0.5150640606880188
arabo,greco,0.4220626950263977,lombardo,0.5191377401351929,sardo,0.5304868221282959
sloveno,veneto,0.4197838306427002,tedesco,0.47777265310287476,greco,0.49133414030075073
