,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.660738,0.828864,0.591662,0.788367,0.749243,0.662929,0.865342,0.678870,0.586022,0.665273,0.397081,0.520430,0.385046,0.352957,0.580216
siciliano,0.660738,1.000000,0.623095,0.630571,0.621900,0.613225,0.525236,0.770374,0.488127,0.518008,0.449344,0.418046,0.462698,0.429332,0.465249,0.479838
lombardo,0.828864,0.623095,1.000000,0.584890,0.721544,0.772064,0.695918,0.779327,0.673527,0.622356,0.789913,0.451381,0.516963,0.398086,0.480862,0.458581
sardo,0.591662,0.630571,0.584890,1.000000,0.638187,0.566841,0.560325,0.620064,0.664497,0.563520,0.616049,0.427361,0.546682,0.393057,0.469513,0.453384
ligure,0.788367,0.621900,0.721544,0.638187,1.000000,0.760918,0.656967,0.785138,0.663550,0.542839,0.632817,0.405280,0.527229,0.354793,0.337368,0.501674
friulano,0.749243,0.613225,0.772064,0.566841,0.760918,1.000000,0.571939,0.801584,0.572890,0.667683,0.627671,0.488721,0.514113,0.484936,0.305170,0.439701
ladino,0.662929,0.525236,0.695918,0.560325,0.656967,0.571939,1.000000,0.639609,0.661522,0.620983,0.620360,0.457567,0.493860,0.371369,0.403002,0.491984
italiano,0.865342,0.770374,0.779327,0.620064,0.785138,0.801584,0.639609,1.000000,0.656720,0.583514,0.607370,0.393194,0.471163,0.373896,0.360964,0.423627
spagnolo,0.678870,0.488127,0.673527,0.664497,0.663550,0.572890,0.661522,0.656720,1.000000,0.599854,0.849053,0.443760,0.478702,0.376882,0.335769,0.282254
francese,0.586022,0.518008,0.622356,0.563520,0.542839,0.667683,0.620983,0.583514,0.599854,1.000000,0.739142,0.460343,0.582118,0.442776,0.241141,0.416976
catalano,0.665273,0.449344,0.789913,0.616049,0.632817,0.627671,0.620360,0.607370,0.849053,0.739142,1.000000,0.450136,0.555735,0.326671,0.333413,0.290813
tedesco,0.397081,0.418046,0.451381,0.427361,0.405280,0.488721,0.457567,0.393194,0.443760,0.460343,0.450136,1.000000,0.540984,0.416554,0.441804,0.522227
inglese,0.520430,0.462698,0.516963,0.546682,0.527229,0.514113,0.493860,0.471163,0.478702,0.582118,0.555735,0.540984,1.000000,0.432525,0.263677,0.492020
greco,0.385046,0.429332,0.398086,0.393057,0.354793,0.484936,0.371369,0.373896,0.376882,0.442776,0.326671,0.416554,0.432525,1.000000,0.577937,0.508666
arabo,0.352957,0.465249,0.480862,0.469513,0.337368,0.305170,0.403002,0.360964,0.335769,0.241141,0.333413,0.441804,0.263677,0.577937,1.000000,0.385622
sloveno,0.580216,0.479838,0.458581,0.453384,0.501674,0.439701,0.491984,0.423627,0.282254,0.416976,0.290813,0.522227,0.492020,0.508666,0.385622,1.000000
