,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
veneto,0.030545,-0.053454,0.184340,0.016219,0.093611,0.029575,0.032907,0.019767,0.065453,-0.115716,-0.028064,-0.023286,0.023580,-0.010013,0.174037,-0.080144,0.091458,0.074401,0.003784,-0.068996,-0.254846,-0.050333,0.218724,0.157108,-0.014915,0.002222,-0.199777,0.086762,-0.062487,-0.230355,0.078548,-0.151241,0.081776,-0.054890,0.014640,0.094421,0.201983,-0.019669,-0.038325,0.139687,0.024708,0.167875,0.222998,0.031170,-0.046654,-0.077036,-0.178129,-0.045286,0.186899,0.086538,-0.136375,0.037551,0.064031,0.067500,0.150052,0.018637,-0.037663,0.005694,0.090741,-0.063466,0.016783,0.032717,-0.200672,-0.030497,0.120171,-0.001248,-0.045370,-0.006199,0.222158,-0.074894,-0.118400,-0.088574,-0.100148,-0.086748,-0.076357,-0.014439,-0.021547,0.065445,-0.084021,-0.029190,0.088110,0.023011,0.068106,0.113400,0.019954,-0.007003,0.059978,-0.112900,-0.107704,-0.009201,-0.000798,-0.002257,-0.118123,0.109633,0.095093,-0.008005,-0.128192,-0.026259,-0.103601,0.052046
siciliano,0.036519,0.023054,0.270739,-0.006713,0.117690,-0.025815,0.179907,0.068772,0.055162,-0.056933,-0.046473,0.072012,0.081586,-0.029568,0.240497,0.052932,0.158963,0.002056,-0.042937,-0.035560,-0.120443,-0.019915,0.125431,0.098838,0.024513,-0.107958,-0.245835,0.065943,0.040170,-0.164208,-0.028462,-0.120455,-0.035531,0.030740,-0.120299,0.002430,0.147603,-0.159943,0.074841,0.214726,0.141728,0.199308,0.193776,-0.085510,-0.025959,0.025812,-0.114569,0.053795,0.104880,0.006027,-0.054520,0.066674,-0.029169,0.059436,-0.102583,0.083895,-0.067845,0.132493,0.027899,0.029995,0.081502,0.013243,-0.127686,0.035543,0.093892,0.096595,0.043968,0.011552,0.071597,-0.017663,0.030310,-0.181401,-0.094438,-0.068715,0.096279,-0.062374,-0.084332,-0.136579,-0.066428,-0.028711,0.148187,0.075976,0.047890,0.000854,0.105509,0.047531,0.005319,-0.022885,-0.157205,0.056044,-0.041691,-0.096879,-0.063969,0.112566,0.120438,-0.013463,-0.124211,0.045530,-0.109570,0.118556
lombardo,-0.020633,-0.063540,0.018862,0.038357,0.065072,0.024424,0.022019,0.039752,0.102451,-0.054790,0.003332,-0.048780,0.084004,-0.012471,0.051525,0.008017,0.169762,0.034537,0.019321,-0.033150,-0.151454,-0.030453,0.212202,0.064676,-0.074892,0.031900,-0.180001,0.102088,-0.038418,-0.072809,0.104810,-0.095036,0.069946,-0.066649,0.026663,0.090824,0.148033,-0.130872,0.027122,0.126105,0.061504,0.098614,0.163435,-0.037208,-0.052528,-0.097377,-0.150367,-0.054642,0.351595,0.089356,0.003003,0.000111,0.084030,0.051925,0.049881,0.027817,-0.087321,-0.020071,0.186618,0.001578,0.122868,0.042241,-0.227248,0.017314,0.176213,0.102230,0.034425,-0.007067,0.210916,-0.082463,-0.056388,-0.141915,-0.122302,-0.202187,-0.091749,-0.002265,-0.015147,-0.012918,-0.091013,-0.075996,0.165519,0.082459,0.069685,0.172880,0.036097,0.041249,-0.048890,-0.109462,-0.147050,0.064879,-0.061798,-0.070209,-0.075032,0.048774,0.087519,0.012860,-0.139120,-0.074876,-0.107923,0.032647
sardo,-0.082572,0.078610,0.144434,0.064836,0.020032,0.061881,-0.017834,-0.029805,-0.104535,-0.115009,-0.065336,0.056840,-0.047945,-0.015506,0.188862,-0.067285,0.097936,-0.170479,0.080433,-0.108274,-0.118251,0.041215,0.029749,0.121863,0.069975,-0.139482,-0.131483,0.083500,0.121339,-0.005727,0.094493,-0.169333,-0.064411,-0.036531,0.066039,-0.012293,0.253629,-0.065297,0.011624,0.059783,0.007385,0.216810,0.229550,-0.006933,-0.057622,0.073289,-0.201381,0.023486,0.138588,0.067009,-0.031248,0.011058,-0.032032,0.063973,0.105079,0.022289,0.013197,0.106498,-0.027961,0.023898,0.084539,0.061032,-0.156753,0.169680,0.172646,0.075201,-0.013134,-0.065827,0.157221,-0.061518,-0.026558,-0.067396,-0.079760,-0.171960,-0.069122,-0.038199,-0.074429,-0.135041,-0.064946,0.016508,0.060652,0.134373,0.005600,-0.072357,0.039898,0.027843,-0.043416,-0.152134,-0.036277,-0.042174,-0.171304,-0.170367,-0.147454,0.118325,0.078922,0.110979,-0.019251,0.117431,-0.051982,0.106096
ligure,-0.058150,0.083201,0.159716,0.093210,0.081029,0.067547,0.029231,0.009653,0.025456,-0.183896,-0.062463,-0.105454,0.139792,0.041179,0.152132,0.040139,0.063007,0.019769,0.029713,-0.098241,-0.165785,0.029558,0.140586,0.245196,0.037684,-0.094853,-0.180071,0.128226,0.020435,-0.129402,-0.049208,-0.103626,0.175775,-0.069645,-0.028850,0.091868,0.194870,-0.022687,-0.014020,0.063913,0.008111,0.106273,0.247680,0.035133,-0.114769,-0.099805,-0.100213,0.003661,0.209423,0.056729,0.040738,0.047914,0.071223,0.035294,0.175396,-0.102177,-0.025301,0.005855,0.086533,-0.161693,0.071054,-0.023825,-0.076080,0.038620,0.128254,0.116530,0.028583,0.013909,0.080019,-0.134414,-0.012613,-0.129614,-0.031970,-0.067180,-0.072456,0.000586,-0.021785,-0.067329,-0.111616,0.061437,0.109511,0.130603,0.037408,0.122875,0.099161,0.029784,0.015812,0.018434,-0.147279,-0.042795,-0.050016,-0.071949,-0.126929,0.024086,0.134095,0.021975,-0.158757,-0.021839,-0.184179,0.084927
friulano,0.033958,0.012879,0.080237,0.037331,0.106989,0.043408,0.038605,-0.000330,0.042350,-0.139241,-0.065464,-0.001555,0.101302,-0.110049,0.161799,-0.026323,0.055743,-0.030990,-0.011073,-0.018476,-0.180665,-0.023453,0.149559,0.157794,0.057636,0.046536,-0.134215,0.123332,-0.020820,-0.053015,-0.019157,-0.106824,0.040315,-0.156753,-0.022675,-0.029636,0.121502,-0.170015,0.024868,0.037528,0.049924,0.084310,0.216536,0.024312,-0.148888,-0.085303,-0.167717,-0.081423,0.214504,0.066283,0.021479,0.099830,0.171066,0.012817,0.041803,0.035547,-0.082736,0.016134,0.134539,-0.133555,0.085347,-0.083009,-0.136841,-0.074733,0.111867,0.088067,-0.082431,-0.040585,0.210551,-0.074029,-0.067611,-0.119747,-0.017490,-0.184761,-0.158776,-0.034766,0.001336,-0.088033,-0.052217,-0.007091,0.080395,0.092442,0.032116,0.096705,0.016583,0.086770,-0.121392,0.060387,-0.229015,0.028256,0.106943,-0.123295,-0.114456,0.130315,0.169718,0.087928,-0.135710,0.057074,-0.025169,0.063343
ladino,-0.038797,0.034050,0.052981,-0.023568,0.003205,0.107107,-0.071048,-0.029086,0.055663,-0.141790,-0.092732,-0.031153,0.041217,0.013877,0.072269,-0.015947,0.090652,-0.073659,-0.001051,-0.065389,-0.093186,0.082723,0.124008,0.067370,0.117036,0.065288,-0.168324,0.039989,0.036530,0.028975,0.029343,-0.105400,0.121013,-0.161093,0.070765,-0.002284,0.207381,0.008394,-0.053243,0.113627,0.041249,0.084537,0.141455,0.047180,0.094222,-0.055185,-0.168062,-0.036889,0.328849,0.195527,0.084845,0.009349,0.089865,0.005993,0.138221,-0.055399,-0.095770,0.031781,0.009948,0.008604,-0.088484,-0.000548,-0.290881,0.110419,0.176042,0.058957,0.069607,0.031510,0.129445,-0.082245,0.014667,-0.094860,-0.128910,-0.093133,0.043131,0.012713,-0.031025,-0.032449,-0.002009,-0.083427,0.109771,-0.007859,0.186754,0.030847,-0.049834,-0.040689,-0.026958,-0.080847,-0.035832,-0.103871,-0.011620,-0.025310,-0.093078,0.102001,0.016451,0.037669,-0.254620,-0.102903,-0.255617,0.045160
italiano,0.008566,0.004465,0.277789,0.043803,0.077810,-0.006602,0.040829,-0.010646,0.123232,-0.061678,-0.092708,-0.009501,0.105863,-0.012962,0.161646,-0.038464,0.073447,0.010497,0.029251,-0.045514,-0.237288,-0.053022,0.232414,0.130820,0.025787,-0.025578,-0.208199,0.080182,0.076153,-0.181224,0.023459,-0.141990,0.015026,-0.095283,-0.017603,0.070282,0.134830,-0.111348,-0.023784,0.090452,0.087721,0.170217,0.181463,0.043964,0.012028,-0.144154,-0.186280,0.009533,0.194113,0.028512,0.016114,0.086675,0.069936,0.069123,0.006871,0.080082,-0.107269,0.064997,0.131110,-0.032104,0.035132,0.002368,-0.114383,-0.048516,0.125816,0.122171,-0.093718,-0.007600,0.113169,-0.144189,-0.076668,-0.146314,-0.076617,-0.125159,-0.010958,-0.056485,-0.024035,0.026993,-0.080971,-0.022943,0.047465,0.107075,0.079068,0.120066,0.024550,0.009441,0.029010,-0.072477,-0.166366,-0.004749,0.015825,-0.023137,-0.177430,0.107937,0.108641,0.067012,-0.057764,0.085591,-0.150716,0.082662
spagnolo,-0.069763,0.073201,0.131485,0.038325,-0.014214,-0.031568,-0.047158,-0.075824,-0.074393,-0.102589,-0.085152,-0.088029,-0.058043,0.059026,-0.089096,0.024509,0.067774,-0.048009,0.075366,-0.073351,-0.158667,0.042539,0.086988,0.109547,0.050363,-0.011073,-0.097536,-0.028118,-0.025656,-0.026403,0.027642,-0.088782,0.089194,-0.134142,-0.041852,0.138974,0.212456,0.007475,0.040643,0.187400,0.021774,0.168274,0.172100,0.033730,-0.070391,-0.080230,-0.189628,0.011934,0.259865,0.001093,-0.037669,0.043746,0.057183,-0.020080,0.179442,0.057619,-0.134780,0.120674,0.157707,-0.038987,0.038574,-0.015904,-0.161885,0.086508,0.157559,0.038751,-0.049741,-0.059098,0.172498,0.014709,-0.047726,-0.044547,-0.133196,-0.124704,-0.001896,0.032207,0.047613,-0.062168,-0.014816,-0.127078,0.103717,0.271294,-0.060730,0.035481,-0.020953,-0.008451,0.045043,-0.142071,-0.001735,-0.063495,-0.157615,0.036509,-0.032438,0.225656,0.086927,0.089154,-0.128975,0.055283,-0.171917,0.070514
francese,-0.125574,0.042999,0.080555,0.056740,0.109570,-0.013883,-0.097142,-0.019349,-0.170062,-0.221517,-0.027967,-0.042229,0.052123,-0.114480,0.072074,-0.094895,0.107344,-0.070845,-0.000942,-0.129804,-0.055078,-0.020867,0.122954,0.066824,0.132247,0.062997,-0.049545,0.034999,-0.000579,-0.025430,-0.058764,-0.053098,-0.143065,-0.186582,0.042755,-0.029245,0.164153,-0.109399,-0.053170,0.170349,0.077605,0.106778,0.196400,0.039096,-0.042301,-0.066462,-0.095781,0.031474,0.235503,0.100432,-0.012020,0.171713,0.179431,0.020583,0.084939,-0.009513,-0.210498,0.033385,0.065742,0.038001,0.112119,-0.051193,-0.202252,-0.033630,0.161189,0.001120,-0.079360,-0.133953,0.101395,-0.088066,0.021838,-0.080545,-0.130960,-0.196062,-0.029155,0.046530,-0.132777,-0.126513,0.031711,-0.115636,0.158163,-0.065805,-0.058035,0.081295,0.055861,0.086218,-0.053409,0.006829,-0.019152,-0.013877,0.076732,0.026878,0.001822,0.083732,0.058715,0.125938,-0.128872,-0.045651,-0.043764,0.129326
