# Global clustering metrics
metric,value,clusterer
silhouette_global,-0.070283,family_labels
davies_bouldin,0.957537,family_labels
calinski_harabasz,1.909096,family_labels
cophenetic_correlation,0.895363,hierarchical
adjusted_rand_index,0.480874,hierarchical_cut
normalized_mutual_info,0.810360,hierarchical_cut
v_measure,0.810360,hierarchical_cut
adjusted_rand_index,0.576271,kmeans
normalized_mutual_info,0.877756,kmeans
v_measure,0.877756,kmeans

# Per-variety silhouette scores
variety,family,silhouette
catalano,romance,0.439238
spagnolo,romance,0.220868
francese,romance,0.208068
italiano,italian,0.000000
tedesco,germanic,0.000000
arabo,semitic,0.000000
greco,greek,0.000000
inglese,english,0.000000
sloveno,slavic,0.000000
sardo,italo_romance,-0.069763
ladino,italo_romance,-0.092724
lombardo,italo_romance,-0.260673
ligure,italo_romance,-0.279207
friulano,italo_romance,-0.379051
siciliano,italo_romance,-0.395102
veneto,italo_romance,-0.516175
