,ar,ca,de,el,en,es,fr,ita,lmo,nap,sc,scn,sl,vec
ar,0.9999999,0.4441391,0.37568164,0.50044364,0.43473446,0.4364156,0.41511217,0.42710128,0.41567907,0.39639223,0.39171147,0.4292382,0.41035393,0.37881148
ca,0.4441391,1.0,0.5534859,0.4669098,0.57910526,0.7847474,0.6948806,0.67633945,0.7633458,0.62083954,0.6538412,0.6247394,0.5212821,0.74054587
de,0.37568164,0.5534859,0.99999994,0.4778873,0.60540557,0.5042921,0.5803413,0.5245544,0.5325596,0.4509877,0.46596432,0.46186042,0.5051303,0.49627563
el,0.50044364,0.4669098,0.4778873,0.99999994,0.40323126,0.528019,0.47386748,0.44968405,0.46034816,0.48392448,0.45200366,0.47753075,0.4771104,0.4532753
en,0.43473446,0.57910526,0.60540557,0.40323126,1.0,0.6379863,0.6428101,0.61588013,0.55749226,0.5189113,0.5310739,0.51688826,0.516088,0.541813
es,0.4364156,0.7847474,0.5042921,0.528019,0.6379863,0.9999998,0.69392604,0.7190575,0.716268,0.6074654,0.6842543,0.5786696,0.5399154,0.74358916
fr,0.41511217,0.6948806,0.5803413,0.47386748,0.6428101,0.69392604,1.0000001,0.65948564,0.6206121,0.5516749,0.5930719,0.535913,0.51185375,0.62827253
ita,0.42710128,0.67633945,0.5245544,0.44968405,0.61588013,0.7190575,0.65948564,1.0,0.7839864,0.78730494,0.67646986,0.7589401,0.48828933,0.82513946
lmo,0.41567907,0.7633458,0.5325596,0.46034816,0.55749226,0.716268,0.6206121,0.7839864,0.99999994,0.71550035,0.6935477,0.6699166,0.4872001,0.8873424
nap,0.39639223,0.62083954,0.4509877,0.48392448,0.5189113,0.6074654,0.5516749,0.78730494,0.71550035,0.99999994,0.6465578,0.80706847,0.49085838,0.7226292
sc,0.39171147,0.6538412,0.46596432,0.45200366,0.5310739,0.6842543,0.5930719,0.67646986,0.6935477,0.6465578,1.0,0.6564621,0.46587718,0.67212164
scn,0.4292382,0.6247394,0.46186042,0.47753075,0.51688826,0.5786696,0.535913,0.7589401,0.6699166,0.80706847,0.6564621,1.0,0.4535284,0.6677572
sl,0.41035393,0.5212821,0.5051303,0.4771104,0.516088,0.5399154,0.51185375,0.48828933,0.4872001,0.49085838,0.46587718,0.4535284,0.99999994,0.5691119
vec,0.37881148,0.74054587,0.49627563,0.4532753,0.541813,0.74358916,0.62827253,0.82513946,0.8873424,0.7226292,0.67212164,0.6677572,0.5691119,0.99999994
