# Global clustering metrics
metric,value,clusterer
silhouette_global,0.069000,family_labels
davies_bouldin,1.005171,family_labels
calinski_harabasz,2.749498,family_labels
cophenetic_correlation,0.925246,hierarchical
adjusted_rand_index,0.332523,hierarchical_cut
normalized_mutual_info,0.736020,hierarchical_cut
v_measure,0.736020,hierarchical_cut
adjusted_rand_index,0.520289,kmeans
normalized_mutual_info,0.814064,kmeans
v_measure,0.814064,kmeans

# Per-variety silhouette scores
variety,family,silhouette
slv,slavic,0.511449
hrv,slavic,0.490459
spa,romance,0.282312
glg,romance,0.205177
lmo,italo_romance,0.171024
cat,romance,0.168309
oci,romance,0.150172
por,romance,0.142167
sc,italo_romance,0.086687
sqi,albanian,0.000000
eng,english,0.000000
deu,germanic,0.000000
hun,uralic,0.000000
ita,italian,0.000000
fur,italo_romance,-0.002696
fra,romance,-0.004493
lij,italo_romance,-0.102772
ron,romance,-0.173474
scn,italo_romance,-0.196644
vec,italo_romance,-0.347685
