code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
fur,lmo,0.1140027642250061,vec,0.1412636637687683,lij,0.17869985103607178
lij,vec,0.0914275050163269,lmo,0.12172210216522217,ita,0.14438259601593018
lmo,vec,0.09613454341888428,fur,0.1140027642250061,lij,0.12172210216522217
sc,lmo,0.21072083711624146,lij,0.21584469079971313,vec,0.22585690021514893
scn,ita,0.17543941736221313,vec,0.18688082695007324,lij,0.19690942764282227
vec,lij,0.0914275050163269,lmo,0.09613454341888428,ita,0.09674662351608276
ita,vec,0.09674662351608276,lij,0.14438259601593018,scn,0.17543941736221313
spa,glg,0.06305402517318726,por,0.0957787036895752,cat,0.1422804594039917
fra,oci,0.20225191116333008,lmo,0.21277165412902832,cat,0.21498596668243408
cat,oci,0.0819389820098877,lmo,0.138252854347229,spa,0.1422804594039917
por,glg,0.05163758993148804,spa,0.0957787036895752,cat,0.1918979287147522
ron,lmo,0.23219949007034302,vec,0.26663219928741455,lij,0.2744198441505432
oci,cat,0.0819389820098877,lmo,0.1395537257194519,spa,0.14650321006774902
glg,por,0.05163758993148804,spa,0.06305402517318726,lij,0.17743945121765137
deu,lmo,0.3897702097892761,lij,0.4191354513168335,vec,0.4231576919555664
eng,lmo,0.32953566312789917,fur,0.34903281927108765,lij,0.3628210425376892
slv,hrv,0.1846725344657898,vec,0.3408656120300293,lmo,0.35296106338500977
hrv,slv,0.1846725344657898,lij,0.33124345541000366,vec,0.341283917427063
sqi,lmo,0.28139668703079224,lij,0.3413422703742981,vec,0.352475643157959
hun,lij,0.35440337657928467,lmo,0.3726763129234314,fur,0.3855956196784973
