Silhouette report (Word2Vec (FLORES centroid))
============================================================
  n_varieties           = 20
  linkage_method        = average
  silhouette (family)            = +0.0690
  silhouette (romance vs rest)   = +0.2728
  silhouette (romance, no dial.) = n/a

Notes:
  Silhouette range [-1, 1].  >0.5 excellent, >0.2 good, ~0 no structure.

Per-variety silhouette scores (sorted descending):
  variety               family            silhouette
  ----------------------------------------------------
  slv                   slavic               +0.5114
  hrv                   slavic               +0.4905
  spa                   romance              +0.2823
  glg                   romance              +0.2052
  lmo                   italo_romance        +0.1710
  cat                   romance              +0.1683
  oci                   romance              +0.1502
  por                   romance              +0.1422
  sc                    italo_romance        +0.0867
  ita                   italian              +0.0000
  hun                   uralic               +0.0000
  sqi                   albanian             +0.0000
  deu                   germanic             +0.0000
  eng                   english              +0.0000
  fur                   italo_romance        -0.0027
  fra                   romance              -0.0045
  lij                   italo_romance        -0.1028
  ron                   romance              -0.1735
  scn                   italo_romance        -0.1966
  vec                   italo_romance        -0.3477
