,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,por,ron,oci,glg,deu,eng,slv,hrv,sqi,hun
fur,1.000000,0.771978,0.822082,0.710893,0.699439,0.799131,0.767630,0.677474,0.714513,0.742749,0.665851,0.680431,0.724762,0.669927,0.542889,0.619855,0.556213,0.569072,0.604633,0.579773
lij,0.771978,1.000000,0.817890,0.740847,0.756594,0.852021,0.813450,0.744185,0.696370,0.727648,0.763013,0.685360,0.720415,0.780411,0.551595,0.607706,0.596228,0.623953,0.622915,0.607849
lmo,0.822082,0.817890,1.000000,0.731710,0.739853,0.836856,0.768491,0.748547,0.732738,0.799296,0.733584,0.711149,0.800438,0.731258,0.568834,0.627042,0.591414,0.604580,0.666585,0.580564
sc,0.710893,0.740847,0.731710,1.000000,0.711826,0.724496,0.711059,0.733221,0.669807,0.716540,0.728009,0.665212,0.718453,0.718193,0.534116,0.582795,0.565506,0.597113,0.570911,0.543207
scn,0.699439,0.756594,0.739853,0.711826,1.000000,0.763801,0.783528,0.634155,0.619003,0.666765,0.639893,0.656761,0.656629,0.631712,0.511727,0.556747,0.543624,0.558027,0.563429,0.504904
vec,0.799131,0.852021,0.836856,0.724496,0.763801,1.000000,0.857349,0.741966,0.673999,0.734922,0.748112,0.687914,0.721899,0.738985,0.540255,0.598941,0.606019,0.609840,0.605554,0.540243
ita,0.767630,0.813450,0.768491,0.711059,0.783528,0.857349,1.000000,0.672283,0.631576,0.669333,0.684710,0.646026,0.659313,0.665147,0.515270,0.575373,0.528444,0.533692,0.568152,0.495675
spa,0.677474,0.744185,0.748547,0.733221,0.634155,0.741966,0.672283,1.000000,0.693276,0.822663,0.864900,0.647346,0.819601,0.901517,0.471454,0.567653,0.514272,0.525711,0.524375,0.529403
fra,0.714513,0.696370,0.732738,0.669807,0.619003,0.673999,0.631576,0.693276,1.000000,0.753827,0.658018,0.634333,0.771162,0.662814,0.527604,0.618957,0.505567,0.516606,0.511493,0.503168
cat,0.742749,0.727648,0.799296,0.716540,0.666765,0.734922,0.669333,0.822663,0.753827,1.000000,0.773765,0.666899,0.882017,0.782470,0.511164,0.605570,0.519206,0.534122,0.558025,0.547759
por,0.665851,0.763013,0.733584,0.728009,0.639893,0.748112,0.684710,0.864900,0.658018,0.773765,1.000000,0.609409,0.739326,0.918208,0.492585,0.580913,0.533981,0.539297,0.560273,0.535300
ron,0.680431,0.685360,0.711149,0.665212,0.656761,0.687914,0.646026,0.647346,0.634333,0.666899,0.609409,1.000000,0.651991,0.623132,0.475664,0.579345,0.525793,0.530217,0.548188,0.504061
oci,0.724762,0.720415,0.800438,0.718453,0.656629,0.721899,0.659313,0.819601,0.771162,0.882017,0.739326,0.651991,1.000000,0.757409,0.482571,0.564628,0.492895,0.497538,0.530772,0.512758
glg,0.669927,0.780411,0.731258,0.718193,0.631712,0.738985,0.665147,0.901517,0.662814,0.782470,0.918208,0.623132,0.757409,1.000000,0.450800,0.557021,0.507590,0.527080,0.538279,0.518772
deu,0.542889,0.551595,0.568834,0.534116,0.511727,0.540255,0.515270,0.471454,0.527604,0.511164,0.492585,0.475664,0.482571,0.450800,1.000000,0.554630,0.448314,0.429119,0.459271,0.448214
eng,0.619855,0.607706,0.627042,0.582795,0.556747,0.598941,0.575373,0.567653,0.618957,0.605570,0.580913,0.579345,0.564628,0.557021,0.554630,1.000000,0.504600,0.499340,0.486165,0.493175
slv,0.556213,0.596228,0.591414,0.565506,0.543624,0.606019,0.528444,0.514272,0.505567,0.519206,0.533981,0.525793,0.492895,0.507590,0.448314,0.504600,1.000000,0.784741,0.509297,0.435475
hrv,0.569072,0.623953,0.604580,0.597113,0.558027,0.609840,0.533692,0.525711,0.516606,0.534122,0.539297,0.530217,0.497538,0.527080,0.429119,0.499340,0.784741,1.000000,0.539821,0.441704
sqi,0.604633,0.622915,0.666585,0.570911,0.563429,0.605554,0.568152,0.524375,0.511493,0.558025,0.560273,0.548188,0.530772,0.538279,0.459271,0.486165,0.509297,0.539821,1.000000,0.402777
hun,0.579773,0.607849,0.580564,0.543207,0.504904,0.540243,0.495675,0.529403,0.503168,0.547759,0.535300,0.504061,0.512758,0.518772,0.448214,0.493175,0.435475,0.441704,0.402777,1.000000
