dialect,reference,ref_family,mean_similarity
fur,ita,italian,0.767630
fur,cat,romance,0.742749
fur,oci,romance,0.724762
fur,fra,romance,0.714513
fur,ron,romance,0.680431
fur,spa,romance,0.677474
fur,glg,romance,0.669927
fur,por,romance,0.665851
fur,eng,english,0.619855
fur,sqi,albanian,0.604633
fur,hun,uralic,0.579773
fur,hrv,slavic,0.569072
fur,slv,slavic,0.556213
fur,deu,germanic,0.542889
lij,ita,italian,0.813450
lij,glg,romance,0.780411
lij,por,romance,0.763013
lij,spa,romance,0.744185
lij,cat,romance,0.727648
lij,oci,romance,0.720415
lij,fra,romance,0.696370
lij,ron,romance,0.685360
lij,hrv,slavic,0.623953
lij,sqi,albanian,0.622915
lij,hun,uralic,0.607849
lij,eng,english,0.607706
lij,slv,slavic,0.596228
lij,deu,germanic,0.551595
lmo,oci,romance,0.800438
lmo,cat,romance,0.799296
lmo,ita,italian,0.768491
lmo,spa,romance,0.748547
lmo,por,romance,0.733584
lmo,fra,romance,0.732738
lmo,glg,romance,0.731258
lmo,ron,romance,0.711149
lmo,sqi,albanian,0.666585
lmo,eng,english,0.627042
lmo,hrv,slavic,0.604580
lmo,slv,slavic,0.591414
lmo,hun,uralic,0.580564
lmo,deu,germanic,0.568834
sc,spa,romance,0.733221
sc,por,romance,0.728009
sc,oci,romance,0.718453
sc,glg,romance,0.718193
sc,cat,romance,0.716540
sc,ita,italian,0.711059
sc,fra,romance,0.669807
sc,ron,romance,0.665212
sc,hrv,slavic,0.597113
sc,eng,english,0.582795
sc,sqi,albanian,0.570911
sc,slv,slavic,0.565506
sc,hun,uralic,0.543207
sc,deu,germanic,0.534116
scn,ita,italian,0.783528
scn,cat,romance,0.666765
scn,ron,romance,0.656761
scn,oci,romance,0.656629
scn,por,romance,0.639893
scn,spa,romance,0.634155
scn,glg,romance,0.631712
scn,fra,romance,0.619003
scn,sqi,albanian,0.563429
scn,hrv,slavic,0.558027
scn,eng,english,0.556747
scn,slv,slavic,0.543624
scn,deu,germanic,0.511727
scn,hun,uralic,0.504904
vec,ita,italian,0.857349
vec,por,romance,0.748112
vec,spa,romance,0.741966
vec,glg,romance,0.738985
vec,cat,romance,0.734922
vec,oci,romance,0.721899
vec,ron,romance,0.687914
vec,fra,romance,0.673999
vec,hrv,slavic,0.609840
vec,slv,slavic,0.606019
vec,sqi,albanian,0.605554
vec,eng,english,0.598941
vec,deu,germanic,0.540255
vec,hun,uralic,0.540243
