,fur,lij,lmo,sc,scn,vec,ita,spa,fra,cat,deu,slv,eng
fur,0.000000,0.162835,0.106084,0.226824,0.249140,0.137660,0.172259,0.244371,0.214832,0.221272,0.430734,0.411391,0.313810
lij,0.162835,0.000000,0.111154,0.193355,0.183366,0.073980,0.115896,0.184704,0.238226,0.208929,0.407409,0.371057,0.325451
lmo,0.106084,0.111154,0.000000,0.196772,0.210704,0.089955,0.165210,0.146384,0.203122,0.100546,0.432205,0.430162,0.337429
sc,0.226824,0.193355,0.196772,0.000000,0.231985,0.197715,0.224951,0.194248,0.261177,0.265642,0.433542,0.437247,0.345765
scn,0.249140,0.183366,0.210704,0.231985,0.000000,0.174662,0.162675,0.315485,0.341281,0.332622,0.468752,0.434764,0.398189
vec,0.137660,0.073980,0.089955,0.197715,0.174662,0.000000,0.093102,0.198075,0.260116,0.222422,0.433274,0.374218,0.353047
ita,0.172259,0.115896,0.165210,0.224951,0.162675,0.093102,0.000000,0.286987,0.324687,0.332961,0.482327,0.474797,0.386175
spa,0.244371,0.184704,0.146384,0.194248,0.315485,0.198075,0.286987,0.000000,0.261209,0.139904,0.498367,0.482124,0.392836
fra,0.214832,0.238226,0.203122,0.261177,0.341281,0.260116,0.324687,0.261209,0.000000,0.229663,0.439550,0.479464,0.327842
cat,0.221272,0.208929,0.100546,0.265642,0.332622,0.222422,0.332961,0.139904,0.229663,0.000000,0.543847,0.533530,0.423919
deu,0.430734,0.407409,0.432205,0.433542,0.468752,0.433274,0.482327,0.498367,0.439550,0.543847,0.000000,0.541233,0.416547
slv,0.411391,0.371057,0.430162,0.437247,0.434764,0.374218,0.474797,0.482124,0.479464,0.533530,0.541233,0.000000,0.486515
eng,0.313810,0.325451,0.337429,0.345765,0.398189,0.353047,0.386175,0.392836,0.327842,0.423919,0.416547,0.486515,0.000000
