variety_A,variety_B,mean_similarity,family_A,family_B
lij,vec,0.870969,italo_romance,italo_romance
vec,ita,0.869861,italo_romance,italian
lmo,vec,0.849432,italo_romance,italo_romance
lmo,cat,0.848976,italo_romance,romance
lij,ita,0.840389,italo_romance,italian
spa,cat,0.836673,romance,romance
fur,lmo,0.833142,italo_romance,italo_romance
lij,lmo,0.830477,italo_romance,italo_romance
fur,vec,0.804358,italo_romance,italo_romance
lmo,spa,0.799998,italo_romance,romance
scn,ita,0.795957,italo_romance,italian
lmo,ita,0.789599,italo_romance,italian
fur,lij,0.784282,italo_romance,italo_romance
fur,ita,0.779355,italo_romance,italian
scn,vec,0.776861,italo_romance,italo_romance
lij,spa,0.770837,italo_romance,romance
lij,scn,0.768699,italo_romance,italo_romance
sc,spa,0.766448,italo_romance,romance
vec,spa,0.758552,italo_romance,romance
lij,cat,0.754726,italo_romance,romance
lij,sc,0.753066,italo_romance,italo_romance
fra,cat,0.748400,romance,romance
sc,vec,0.747207,italo_romance,italo_romance
fur,cat,0.746406,italo_romance,romance
lmo,sc,0.746330,italo_romance,italo_romance
lmo,fra,0.746259,italo_romance,romance
fur,fra,0.744128,italo_romance,romance
vec,cat,0.740296,italo_romance,romance
lmo,scn,0.739486,italo_romance,italo_romance
sc,ita,0.730362,italo_romance,italian
fur,sc,0.722093,italo_romance,italo_romance
sc,scn,0.720647,italo_romance,italo_romance
lij,fra,0.718654,italo_romance,romance
fur,spa,0.715045,italo_romance,romance
spa,fra,0.709268,romance,romance
fur,scn,0.706222,italo_romance,italo_romance
sc,cat,0.703915,italo_romance,romance
sc,fra,0.696517,italo_romance,romance
vec,fra,0.694766,italo_romance,romance
ita,spa,0.686711,italian,romance
fur,eng,0.651757,italo_romance,english
fra,eng,0.651537,romance,english
scn,spa,0.651330,italo_romance,romance
ita,cat,0.648978,italian,romance
ita,fra,0.643158,italian,romance
scn,cat,0.641647,italo_romance,romance
lij,eng,0.638705,italo_romance,english
lmo,eng,0.625464,italo_romance,english
scn,fra,0.624168,italo_romance,romance
sc,eng,0.619806,italo_romance,english
vec,eng,0.611151,italo_romance,english
spa,eng,0.586940,romance,english
ita,eng,0.585895,italian,english
lij,slv,0.584771,italo_romance,slavic
vec,slv,0.577980,italo_romance,slavic
scn,eng,0.572374,italo_romance,english
cat,eng,0.565209,romance,english
deu,eng,0.562765,germanic,english
lij,deu,0.554953,italo_romance,germanic
fur,slv,0.549690,italo_romance,slavic
fur,deu,0.536041,italo_romance,germanic
fra,deu,0.535930,romance,germanic
lmo,deu,0.530834,italo_romance,germanic
sc,deu,0.530305,italo_romance,germanic
lmo,slv,0.529306,italo_romance,slavic
vec,deu,0.528878,italo_romance,germanic
scn,slv,0.527464,italo_romance,slavic
sc,slv,0.524709,italo_romance,slavic
scn,deu,0.499053,italo_romance,germanic
fra,slv,0.494008,romance,slavic
ita,slv,0.493646,italian,slavic
slv,eng,0.491679,slavic,english
spa,slv,0.490989,romance,slavic
ita,deu,0.489446,italian,germanic
spa,deu,0.478478,romance,germanic
cat,slv,0.448489,romance,slavic
cat,deu,0.442429,romance,germanic
deu,slv,0.437639,germanic,slavic
