code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,ligure,0.00024449825286865234,friulano,0.0003299117088317871,lombardo,0.0003832578659057617
siciliano,ligure,0.0003731846809387207,friulano,0.00037997961044311523,lombardo,0.0005027651786804199
lombardo,ligure,0.00024241209030151367,friulano,0.00032132863998413086,sardo,0.0003795027732849121
sardo,ligure,0.000361025333404541,friulano,0.0003663301467895508,lombardo,0.0003795027732849121
ligure,friulano,0.00018906593322753906,lombardo,0.00024241209030151367,veneto,0.00024449825286865234
friulano,ligure,0.00018906593322753906,lombardo,0.00032132863998413086,veneto,0.0003299117088317871
ladino,friulano,0.000392913818359375,sardo,0.00041484832763671875,lombardo,0.00042575597763061523
italiano,spagnolo,0.001827239990234375,francese,0.0019261837005615234,inglese,0.001982271671295166
spagnolo,inglese,0.0014933943748474121,italiano,0.001827239990234375,francese,0.0018488764762878418
francese,spagnolo,0.0018488764762878418,inglese,0.001852273941040039,italiano,0.0019261837005615234
catalano,spagnolo,0.0031605958938598633,francese,0.0031957626342773438,italiano,0.0034792423248291016
tedesco,inglese,0.0017693042755126953,greco,0.0019845962524414062,francese,0.0022343993186950684
inglese,spagnolo,0.0014933943748474121,greco,0.001590132713317871,tedesco,0.0017693042755126953
greco,inglese,0.001590132713317871,arabo,0.0017137527465820312,spagnolo,0.0019060373306274414
arabo,greco,0.0017137527465820312,inglese,0.0021662116050720215,spagnolo,0.0022798776626586914
sloveno,inglese,0.0021068453788757324,greco,0.0023269057273864746,spagnolo,0.0025217533111572266
