code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,catalano,0.0014578700065612793,sloveno,0.0017129778861999512,ladino,0.0017439723014831543
siciliano,italiano,0.004975795745849609,lombardo,0.005314886569976807,sloveno,0.005393862724304199
lombardo,ladino,0.0011543035507202148,veneto,0.0019439458847045898,catalano,0.0023931264877319336
sardo,catalano,0.0034946203231811523,spagnolo,0.004054069519042969,francese,0.004373908042907715
ligure,veneto,0.003310263156890869,catalano,0.004028975963592529,lombardo,0.004049539566040039
friulano,ladino,0.002342522144317627,francese,0.002915501594543457,catalano,0.0034716129302978516
ladino,lombardo,0.0011543035507202148,veneto,0.0017439723014831543,friulano,0.002342522144317627
italiano,greco,0.0016292333602905273,spagnolo,0.0016933679580688477,sloveno,0.0018773078918457031
spagnolo,catalano,0.0004343390464782715,francese,0.0006200671195983887,inglese,0.0006693601608276367
francese,catalano,0.00042957067489624023,spagnolo,0.0006200671195983887,inglese,0.0006613731384277344
catalano,francese,0.00042957067489624023,spagnolo,0.0004343390464782715,inglese,0.0007918477058410645
tedesco,inglese,0.0010405182838439941,francese,0.0012459158897399902,spagnolo,0.0013167858123779297
inglese,francese,0.0006613731384277344,spagnolo,0.0006693601608276367,sloveno,0.0007430315017700195
greco,spagnolo,0.0012084245681762695,arabo,0.0013686418533325195,inglese,0.0013943314552307129
arabo,sloveno,0.0010706782341003418,inglese,0.0012854337692260742,greco,0.0013686418533325195
sloveno,inglese,0.0007430315017700195,spagnolo,0.0008825063705444336,catalano,0.0008864998817443848
