,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,1.000000,0.993726,0.998056,0.995439,0.996690,0.996267,0.998256,0.995991,0.998083,0.997856,0.998542,0.996736,0.997499,0.996845,0.997583,0.998287
siciliano,0.993726,1.000000,0.994685,0.993854,0.993473,0.993756,0.994216,0.995024,0.993072,0.993943,0.994340,0.993193,0.993396,0.993558,0.994020,0.994606
lombardo,0.998056,0.994685,1.000000,0.994103,0.995950,0.996515,0.998846,0.994013,0.995885,0.996485,0.997607,0.995451,0.995687,0.994695,0.995678,0.996422
sardo,0.995439,0.993854,0.994103,1.000000,0.992245,0.993924,0.994535,0.993723,0.995946,0.995626,0.996505,0.994658,0.995339,0.994711,0.994843,0.995436
ligure,0.996690,0.993473,0.995950,0.992245,1.000000,0.994997,0.995790,0.994956,0.995307,0.995815,0.995971,0.994690,0.994740,0.995499,0.995419,0.995659
friulano,0.996267,0.993756,0.996515,0.993924,0.994997,1.000000,0.997657,0.993700,0.995243,0.997084,0.996528,0.995300,0.995881,0.994470,0.996011,0.996383
ladino,0.998256,0.994216,0.998846,0.994535,0.995790,0.997657,1.000000,0.993459,0.996149,0.997008,0.997557,0.995564,0.996395,0.994644,0.996594,0.997319
italiano,0.995991,0.995024,0.994013,0.993723,0.994956,0.993700,0.993459,1.000000,0.998307,0.998039,0.997838,0.997663,0.997911,0.998371,0.997272,0.998123
spagnolo,0.998083,0.993072,0.995885,0.995946,0.995307,0.995243,0.996149,0.998307,1.000000,0.999380,0.999566,0.998683,0.999331,0.998792,0.998513,0.999117
francese,0.997856,0.993943,0.996485,0.995626,0.995815,0.997084,0.997008,0.998039,0.999380,1.000000,0.999570,0.998754,0.999339,0.998506,0.998517,0.999109
catalano,0.998542,0.994340,0.997607,0.996505,0.995971,0.996528,0.997557,0.997838,0.999566,0.999570,1.000000,0.998673,0.999208,0.998446,0.998474,0.999114
tedesco,0.996736,0.993193,0.995451,0.994658,0.994690,0.995300,0.995564,0.997663,0.998683,0.998754,0.998673,1.000000,0.998959,0.998534,0.998452,0.998514
inglese,0.997499,0.993396,0.995687,0.995339,0.994740,0.995881,0.996395,0.997911,0.999331,0.999339,0.999208,0.998959,1.000000,0.998606,0.998715,0.999257
greco,0.996845,0.993558,0.994695,0.994711,0.995499,0.994470,0.994644,0.998371,0.998792,0.998506,0.998446,0.998534,0.998606,1.000000,0.998631,0.998456
arabo,0.997583,0.994020,0.995678,0.994843,0.995419,0.996011,0.996594,0.997272,0.998513,0.998517,0.998474,0.998452,0.998715,0.998631,1.000000,0.998929
sloveno,0.998287,0.994606,0.996422,0.995436,0.995659,0.996383,0.997319,0.998123,0.999117,0.999109,0.999114,0.998514,0.999257,0.998456,0.998929,1.000000
