source,target,distance,similarity,target_family,target_display
arabo,greco,0.001931,0.998069,greek,Greek
arabo,sloveno,0.001957,0.998043,slavic,Slovenian
arabo,inglese,0.002001,0.997999,english,English
arabo,spagnolo,0.002231,0.997769,romance,Spanish
arabo,francese,0.002232,0.997768,romance,French
arabo,catalano,0.002379,0.997621,romance,Catalan
arabo,tedesco,0.002405,0.997595,germanic,German
arabo,veneto,0.003008,0.996992,italo_romance,Venetian
arabo,ligure,0.003282,0.996718,italo_romance,Ligurian
arabo,italiano,0.003826,0.996174,italian,Italian
arabo,lombardo,0.004069,0.995931,italo_romance,Lombard
arabo,friulano,0.004156,0.995844,italo_romance,Friulian
arabo,ladino,0.004501,0.995499,italo_romance,Ladin
arabo,sardo,0.004987,0.995013,italo_romance,Sardinian
arabo,siciliano,0.006062,0.993938,italo_romance,Sicilian
catalano,spagnolo,0.000776,0.999224,romance,Spanish
catalano,francese,0.000856,0.999144,romance,French
catalano,veneto,0.001345,0.998655,italo_romance,Venetian
catalano,inglese,0.001349,0.998651,english,English
catalano,sloveno,0.001530,0.998470,slavic,Slovenian
catalano,lombardo,0.001940,0.998060,italo_romance,Lombard
catalano,ligure,0.002099,0.997901,italo_romance,Ligurian
catalano,tedesco,0.002375,0.997625,germanic,German
catalano,arabo,0.002379,0.997621,semitic,Arabic
catalano,greco,0.002400,0.997600,greek,Greek
catalano,sardo,0.002829,0.997171,italo_romance,Sardinian
catalano,ladino,0.003076,0.996924,italo_romance,Ladin
catalano,friulano,0.003157,0.996843,italo_romance,Friulian
catalano,italiano,0.003406,0.996594,italian,Italian
catalano,siciliano,0.005825,0.994175,italo_romance,Sicilian
francese,catalano,0.000856,0.999144,romance,Catalan
francese,spagnolo,0.001029,0.998971,romance,Spanish
francese,inglese,0.001141,0.998859,english,English
francese,sloveno,0.001497,0.998503,slavic,Slovenian
francese,tedesco,0.002124,0.997876,germanic,German
francese,veneto,0.002142,0.997858,italo_romance,Venetian
francese,greco,0.002173,0.997827,greek,Greek
francese,arabo,0.002232,0.997768,semitic,Arabic
francese,ligure,0.002613,0.997387,italo_romance,Ligurian
francese,friulano,0.002891,0.997109,italo_romance,Friulian
francese,lombardo,0.002913,0.997087,italo_romance,Lombard
francese,italiano,0.003109,0.996891,italian,Italian
francese,ladino,0.003664,0.996336,italo_romance,Ladin
francese,sardo,0.003743,0.996257,italo_romance,Sardinian
francese,siciliano,0.006318,0.993682,italo_romance,Sicilian
friulano,ladino,0.001398,0.998602,italo_romance,Ladin
friulano,lombardo,0.001801,0.998199,italo_romance,Lombard
friulano,veneto,0.001938,0.998062,italo_romance,Venetian
friulano,ligure,0.002192,0.997808,italo_romance,Ligurian
friulano,francese,0.002891,0.997109,romance,French
friulano,catalano,0.003157,0.996843,romance,Catalan
friulano,sloveno,0.003373,0.996627,slavic,Slovenian
friulano,inglese,0.003879,0.996121,english,English
friulano,sardo,0.003995,0.996005,italo_romance,Sardinian
friulano,arabo,0.004156,0.995844,semitic,Arabic
friulano,siciliano,0.004590,0.995410,italo_romance,Sicilian
friulano,spagnolo,0.004751,0.995249,romance,Spanish
friulano,tedesco,0.005606,0.994394,germanic,German
friulano,greco,0.006306,0.993694,greek,Greek
friulano,italiano,0.007777,0.992223,italian,Italian
greco,spagnolo,0.001835,0.998165,romance,Spanish
greco,arabo,0.001931,0.998069,semitic,Arabic
greco,inglese,0.001997,0.998003,english,English
greco,tedesco,0.002150,0.997850,germanic,German
greco,francese,0.002173,0.997827,romance,French
greco,sloveno,0.002271,0.997729,slavic,Slovenian
greco,catalano,0.002400,0.997600,romance,Catalan
greco,italiano,0.002569,0.997431,italian,Italian
greco,veneto,0.004209,0.995791,italo_romance,Venetian
greco,ligure,0.004270,0.995730,italo_romance,Ligurian
greco,lombardo,0.005469,0.994531,italo_romance,Lombard
greco,sardo,0.005500,0.994500,italo_romance,Sardinian
greco,friulano,0.006306,0.993694,italo_romance,Friulian
greco,ladino,0.006771,0.993229,italo_romance,Ladin
greco,siciliano,0.007236,0.992764,italo_romance,Sicilian
inglese,francese,0.001141,0.998859,romance,French
inglese,spagnolo,0.001178,0.998822,romance,Spanish
inglese,sloveno,0.001296,0.998704,slavic,Slovenian
inglese,catalano,0.001349,0.998651,romance,Catalan
inglese,tedesco,0.001846,0.998154,germanic,German
inglese,greco,0.001997,0.998003,greek,Greek
inglese,arabo,0.002001,0.997999,semitic,Arabic
