,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.003926,0.001338,0.002755,0.001475,0.001719,0.001168,0.002620,0.001931,0.001898,0.001563,0.002626,0.002086,0.002387,0.001992,0.001753
siciliano,0.003926,0.000000,0.003257,0.004127,0.003691,0.004352,0.004287,0.003622,0.006091,0.005342,0.004829,0.006102,0.006247,0.005162,0.005138,0.005372
lombardo,0.001338,0.003257,0.000000,0.003198,0.001930,0.001500,0.000872,0.004170,0.003679,0.003211,0.002455,0.003895,0.003794,0.004092,0.003644,0.003517
sardo,0.002755,0.004127,0.003198,0.000000,0.003712,0.003231,0.002974,0.004476,0.003557,0.003920,0.003278,0.004325,0.004015,0.003878,0.003937,0.003912
ligure,0.001475,0.003691,0.001930,0.003712,0.000000,0.002387,0.002272,0.003488,0.003722,0.003207,0.003027,0.004139,0.004051,0.003531,0.003443,0.003571
friulano,0.001719,0.004352,0.001500,0.003231,0.002387,0.000000,0.000976,0.004115,0.003344,0.002351,0.002500,0.003384,0.002901,0.003701,0.003070,0.002770
ladino,0.001168,0.004287,0.000872,0.002974,0.002272,0.000976,0.000000,0.004785,0.003459,0.003023,0.002644,0.003815,0.003170,0.004215,0.003217,0.002974
italiano,0.002620,0.003622,0.004170,0.004476,0.003488,0.004115,0.004785,0.000000,0.001347,0.001171,0.001165,0.001945,0.001819,0.001260,0.001894,0.001476
spagnolo,0.001931,0.006091,0.003679,0.003557,0.003722,0.003344,0.003459,0.001347,0.000000,0.000540,0.000406,0.001116,0.000615,0.001015,0.001300,0.000823
francese,0.001898,0.005342,0.003211,0.003920,0.003207,0.002351,0.003023,0.001171,0.000540,0.000000,0.000333,0.001065,0.000634,0.001104,0.001415,0.000844
catalano,0.001563,0.004829,0.002455,0.003278,0.003027,0.002500,0.002644,0.001165,0.000406,0.000333,0.000000,0.001070,0.000699,0.001049,0.001351,0.000866
tedesco,0.002626,0.006102,0.003895,0.004325,0.004139,0.003384,0.003815,0.001945,0.001116,0.001065,0.001070,0.000000,0.000894,0.001217,0.001354,0.001279
inglese,0.002086,0.006247,0.003794,0.004015,0.004051,0.002901,0.003170,0.001819,0.000615,0.000634,0.000699,0.000894,0.000000,0.001182,0.001246,0.000686
greco,0.002387,0.005162,0.004092,0.003878,0.003531,0.003701,0.004215,0.001260,0.001015,0.001104,0.001049,0.001217,0.001182,0.000000,0.001006,0.001188
arabo,0.001992,0.005138,0.003644,0.003937,0.003443,0.003070,0.003217,0.001894,0.001300,0.001415,0.001351,0.001354,0.001246,0.001006,0.000000,0.001201
sloveno,0.001753,0.005372,0.003517,0.003912,0.003571,0.002770,0.002974,0.001476,0.000823,0.000844,0.000866,0.001279,0.000686,0.001188,0.001201,0.000000
