source,target,distance,similarity,target_family,target_display
arabo,greco,0.001006,0.998994,greek,Greek
arabo,sloveno,0.001201,0.998799,slavic,Slovenian
arabo,inglese,0.001246,0.998754,english,English
arabo,spagnolo,0.001300,0.998700,romance,Spanish
arabo,catalano,0.001351,0.998649,romance,Catalan
arabo,tedesco,0.001354,0.998646,germanic,German
arabo,francese,0.001415,0.998585,romance,French
arabo,italiano,0.001894,0.998106,italian,Italian
arabo,veneto,0.001992,0.998008,italo_romance,Venetian
arabo,friulano,0.003070,0.996930,italo_romance,Friulian
arabo,ladino,0.003217,0.996783,italo_romance,Ladin
arabo,ligure,0.003443,0.996557,italo_romance,Ligurian
arabo,lombardo,0.003644,0.996356,italo_romance,Lombard
arabo,sardo,0.003937,0.996063,italo_romance,Sardinian
arabo,siciliano,0.005138,0.994862,italo_romance,Sicilian
catalano,francese,0.000333,0.999667,romance,French
catalano,spagnolo,0.000406,0.999594,romance,Spanish
catalano,inglese,0.000699,0.999301,english,English
catalano,sloveno,0.000866,0.999134,slavic,Slovenian
catalano,greco,0.001049,0.998951,greek,Greek
catalano,tedesco,0.001070,0.998930,germanic,German
catalano,italiano,0.001165,0.998835,italian,Italian
catalano,arabo,0.001351,0.998649,semitic,Arabic
catalano,veneto,0.001563,0.998437,italo_romance,Venetian
catalano,lombardo,0.002455,0.997545,italo_romance,Lombard
catalano,friulano,0.002500,0.997500,italo_romance,Friulian
catalano,ladino,0.002644,0.997356,italo_romance,Ladin
catalano,ligure,0.003027,0.996973,italo_romance,Ligurian
catalano,sardo,0.003278,0.996722,italo_romance,Sardinian
catalano,siciliano,0.004829,0.995171,italo_romance,Sicilian
francese,catalano,0.000333,0.999667,romance,Catalan
francese,spagnolo,0.000540,0.999460,romance,Spanish
francese,inglese,0.000634,0.999366,english,English
francese,sloveno,0.000844,0.999156,slavic,Slovenian
francese,tedesco,0.001065,0.998935,germanic,German
francese,greco,0.001104,0.998896,greek,Greek
francese,italiano,0.001171,0.998829,italian,Italian
francese,arabo,0.001415,0.998585,semitic,Arabic
francese,veneto,0.001898,0.998102,italo_romance,Venetian
francese,friulano,0.002351,0.997649,italo_romance,Friulian
francese,ladino,0.003023,0.996977,italo_romance,Ladin
francese,ligure,0.003207,0.996793,italo_romance,Ligurian
francese,lombardo,0.003211,0.996789,italo_romance,Lombard
francese,sardo,0.003920,0.996080,italo_romance,Sardinian
francese,siciliano,0.005342,0.994658,italo_romance,Sicilian
friulano,ladino,0.000976,0.999024,italo_romance,Ladin
friulano,lombardo,0.001500,0.998500,italo_romance,Lombard
friulano,veneto,0.001719,0.998281,italo_romance,Venetian
friulano,francese,0.002351,0.997649,romance,French
friulano,ligure,0.002387,0.997613,italo_romance,Ligurian
friulano,catalano,0.002500,0.997500,romance,Catalan
friulano,sloveno,0.002770,0.997230,slavic,Slovenian
friulano,inglese,0.002901,0.997099,english,English
friulano,arabo,0.003070,0.996930,semitic,Arabic
friulano,sardo,0.003231,0.996769,italo_romance,Sardinian
friulano,spagnolo,0.003344,0.996656,romance,Spanish
friulano,tedesco,0.003384,0.996616,germanic,German
friulano,greco,0.003701,0.996299,greek,Greek
friulano,italiano,0.004115,0.995885,italian,Italian
friulano,siciliano,0.004352,0.995648,italo_romance,Sicilian
greco,arabo,0.001006,0.998994,semitic,Arabic
greco,spagnolo,0.001015,0.998985,romance,Spanish
greco,catalano,0.001049,0.998951,romance,Catalan
greco,francese,0.001104,0.998896,romance,French
greco,inglese,0.001182,0.998818,english,English
greco,sloveno,0.001188,0.998812,slavic,Slovenian
greco,tedesco,0.001217,0.998783,germanic,German
greco,italiano,0.001260,0.998740,italian,Italian
greco,veneto,0.002387,0.997613,italo_romance,Venetian
greco,ligure,0.003531,0.996469,italo_romance,Ligurian
greco,friulano,0.003701,0.996299,italo_romance,Friulian
greco,sardo,0.003878,0.996122,italo_romance,Sardinian
greco,lombardo,0.004092,0.995908,italo_romance,Lombard
greco,ladino,0.004215,0.995785,italo_romance,Ladin
greco,siciliano,0.005162,0.994838,italo_romance,Sicilian
inglese,spagnolo,0.000615,0.999385,romance,Spanish
inglese,francese,0.000634,0.999366,romance,French
inglese,sloveno,0.000686,0.999314,slavic,Slovenian
inglese,catalano,0.000699,0.999301,romance,Catalan
inglese,tedesco,0.000894,0.999106,germanic,German
inglese,greco,0.001182,0.998818,greek,Greek
inglese,arabo,0.001246,0.998754,semitic,Arabic
inglese,italiano,0.001819,0.998181,italian,Italian
inglese,veneto,0.002086,0.997914,italo_romance,Venetian
inglese,friulano,0.002901,0.997099,italo_romance,Friulian
inglese,ladino,0.003170,0.996830,italo_romance,Ladin
inglese,lombardo,0.003794,0.996206,italo_romance,Lombard
