variety,nn_1_lm,nn_1_ppl,nn_2_lm,nn_2_ppl,nn_3_lm,nn_3_ppl
veneto,italian,296.415262,german,321.371742,catalan,384.813384
siciliano,english,328.955758,italian,366.10166,catalan,370.638438
lombardo,italian,237.728343,catalan,369.265289,german,504.41539
sardo,italian,299.274279,english,333.045667,catalan,377.33698
ligure,english,217.245189,italian,238.76936,catalan,265.792309
friulano,italian,287.447754,english,348.168105,catalan,377.767852
ladino,italian,288.507388,english,395.338568,catalan,528.961367
italiano,italian,5.771143,english,68.008373,catalan,107.064215
spagnolo,spanish,10.043424,catalan,16.952782,english,39.709082
francese,italian,22.252593,catalan,50.743473,english,55.272346
catalano,catalan,11.307491,italian,126.398587,english,147.650188
tedesco,english,51.368373,italian,56.018461,german,69.620706
inglese,english,9.124661,italian,22.6965,catalan,32.006773
greco,french,2.201121,catalan,7.96466,italian,10.806489
arabo,french,1.813985,catalan,10.075477,english,20.081616
sloveno,english,182.732977,italian,227.659248,catalan,386.294513
