,nap,scn,vec,lmo,sc,ita,es,fr,ca,de,el,ar,sl,en
nap,0.000000,0.208398,0.226854,0.267115,0.346685,0.154865,0.397090,0.437284,0.455804,0.514461,0.571998,0.566811,0.471564,0.501926
scn,0.208398,0.000000,0.264131,0.287372,0.278401,0.191913,0.437436,0.479153,0.431485,0.532731,0.609048,0.641414,0.441763,0.522300
vec,0.226854,0.264131,0.000000,0.081016,0.229606,0.091938,0.158676,0.276463,0.193322,0.492553,0.578776,0.622998,0.376572,0.383608
lmo,0.267115,0.287372,0.081016,0.000000,0.241535,0.141390,0.162872,0.252334,0.127437,0.421251,0.525971,0.614340,0.427454,0.321812
sc,0.346685,0.278401,0.229606,0.241535,0.000000,0.265778,0.204042,0.321609,0.244743,0.472111,0.567174,0.660743,0.502193,0.387569
ita,0.154865,0.191913,0.091938,0.141390,0.265778,0.000000,0.263332,0.319414,0.317758,0.463593,0.605558,0.637141,0.447941,0.365635
es,0.397090,0.437436,0.158676,0.162872,0.204042,0.263332,0.000000,0.289744,0.105256,0.522060,0.580213,0.629546,0.518402,0.350371
fr,0.437284,0.479153,0.276463,0.252334,0.321609,0.319414,0.289744,0.000000,0.235474,0.425390,0.562108,0.674619,0.619165,0.294972
ca,0.455804,0.431485,0.193322,0.127437,0.244743,0.317758,0.105256,0.235474,0.000000,0.566939,0.557218,0.673574,0.588029,0.398239
de,0.514461,0.532731,0.492553,0.421251,0.472111,0.463593,0.522060,0.425390,0.566939,0.000000,0.684075,0.649248,0.532403,0.308136
el,0.571998,0.609048,0.578776,0.525971,0.567174,0.605558,0.580213,0.562108,0.557218,0.684075,0.000000,0.506959,0.616149,0.578459
ar,0.566811,0.641414,0.622998,0.614340,0.660743,0.637141,0.629546,0.674619,0.673574,0.649248,0.506959,0.000000,0.683841,0.673823
sl,0.471564,0.441763,0.376572,0.427454,0.502193,0.447941,0.518402,0.619165,0.588029,0.532403,0.616149,0.683841,0.000000,0.530908
en,0.501926,0.522300,0.383608,0.321812,0.387569,0.365635,0.350371,0.294972,0.398239,0.308136,0.578459,0.673823,0.530908,0.000000
