,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
ita,,0.7557,0.6295,0.6598,0.9477,0.9451,0.9627,0.6201,0.4650,0.6441,0.5479,0.5730,0.4428
fra,0.7557,,0.7323,0.7022,0.9743,0.9917,0.9770,0.7494,0.7868,0.8339,0.8001,0.8027,0.7543
spa,0.6295,0.7323,,0.5371,0.9751,0.9652,0.9659,0.7281,0.7004,0.7973,0.7229,0.7437,0.6339
cat,0.6598,0.7022,0.5371,,0.9599,0.9604,0.9624,0.7018,0.7261,0.7507,0.7369,0.7332,0.6640
deu,0.9477,0.9743,0.9751,0.9599,,0.9770,0.8231,0.9593,0.9544,0.9500,0.9539,0.9630,0.9506
slv,0.9451,0.9917,0.9652,0.9604,0.9770,,0.9840,0.9691,0.9514,0.9727,0.9635,0.9365,0.9420
eng,0.9627,0.9770,0.9659,0.9624,0.8231,0.9840,,0.9650,0.9572,0.9681,0.9641,0.9648,0.9689
fur,0.6201,0.7494,0.7281,0.7018,0.9593,0.9691,0.9650,,0.6102,0.6190,0.7234,0.7177,0.6111
lij,0.4650,0.7868,0.7004,0.7261,0.9544,0.9514,0.9572,0.6102,,0.6198,0.6614,0.6616,0.4971
lmo,0.6441,0.8339,0.7973,0.7507,0.9500,0.9727,0.9681,0.6190,0.6198,,0.7460,0.7305,0.5904
sc,0.5479,0.8001,0.7229,0.7369,0.9539,0.9635,0.9641,0.7234,0.6614,0.7460,,0.6112,0.6450
scn,0.5730,0.8027,0.7437,0.7332,0.9630,0.9365,0.9648,0.7177,0.6616,0.7305,0.6112,,0.6086
vec,0.4428,0.7543,0.6339,0.6640,0.9506,0.9420,0.9689,0.6111,0.4971,0.5904,0.6450,0.6086,
