,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
ita,0.0000,0.6317,0.5036,0.5497,0.8192,0.8101,0.8291,0.5100,0.3627,0.5373,0.4325,0.4675,0.3376
fra,0.6317,0.0000,0.6157,0.5836,0.8419,0.8746,0.8484,0.6374,0.6783,0.7325,0.6755,0.7037,0.6357
spa,0.5036,0.6157,0.0000,0.4322,0.8568,0.8370,0.8416,0.6113,0.5815,0.6829,0.6027,0.6329,0.5052
cat,0.5497,0.5836,0.4322,0.0000,0.8448,0.8404,0.8441,0.5920,0.6189,0.6438,0.6149,0.6260,0.5471
deu,0.8192,0.8419,0.8568,0.8448,0.0000,0.8643,0.7004,0.8387,0.8414,0.8451,0.8302,0.8550,0.8326
slv,0.8101,0.8746,0.8370,0.8404,0.8643,0.0000,0.8632,0.8392,0.8206,0.8582,0.8398,0.8100,0.8115
eng,0.8291,0.8484,0.8416,0.8441,0.7004,0.8632,0.0000,0.8410,0.8383,0.8584,0.8371,0.8503,0.8425
fur,0.5100,0.6374,0.6113,0.5920,0.8387,0.8392,0.8410,0.0000,0.5041,0.5108,0.6080,0.6009,0.4987
lij,0.3627,0.6783,0.5815,0.6189,0.8414,0.8206,0.8383,0.5041,0.0000,0.5139,0.5491,0.5529,0.3916
lmo,0.5373,0.7325,0.6829,0.6438,0.8451,0.8582,0.8584,0.5108,0.5139,0.0000,0.6309,0.6111,0.4852
sc,0.4325,0.6755,0.6027,0.6149,0.8302,0.8398,0.8371,0.6080,0.5491,0.6309,0.0000,0.4872,0.5250
scn,0.4675,0.7037,0.6329,0.6260,0.8550,0.8100,0.8503,0.6009,0.5529,0.6111,0.4872,0.0000,0.5028
vec,0.3376,0.6357,0.5052,0.5471,0.8326,0.8115,0.8425,0.4987,0.3916,0.4852,0.5250,0.5028,0.0000
