,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
ita,,0.6028,0.4691,0.5139,0.7942,0.7859,0.8040,0.4781,0.3262,0.5019,0.3913,0.4308,0.2964
fra,0.6028,,0.5816,0.5468,0.8146,0.8535,0.8239,0.6034,0.6488,0.7005,0.6463,0.6724,0.6022
spa,0.4691,0.5816,,0.3904,0.8369,0.8156,0.8154,0.5739,0.5465,0.6525,0.5670,0.6007,0.4678
cat,0.5139,0.5468,0.3904,,0.8195,0.8193,0.8178,0.5546,0.5880,0.6092,0.5774,0.5942,0.5074
deu,0.7942,0.8146,0.8369,0.8195,,0.8438,0.6600,0.8129,0.8182,0.8187,0.8071,0.8314,0.8082
slv,0.7859,0.8535,0.8156,0.8193,0.8438,,0.8433,0.8159,0.7962,0.8345,0.8164,0.7860,0.7848
eng,0.8040,0.8239,0.8154,0.8178,0.6600,0.8433,,0.8147,0.8123,0.8342,0.8127,0.8260,0.8182
fur,0.4781,0.6034,0.5739,0.5546,0.8129,0.8159,0.8147,,0.4679,0.4703,0.5764,0.5682,0.4611
lij,0.3262,0.6488,0.5465,0.5880,0.8182,0.7962,0.8123,0.4679,,0.4741,0.5161,0.5198,0.3532
lmo,0.5019,0.7005,0.6525,0.6092,0.8187,0.8345,0.8342,0.4703,0.4741,,0.5978,0.5752,0.4448
sc,0.3913,0.6463,0.5670,0.5774,0.8071,0.8164,0.8127,0.5764,0.5161,0.5978,,0.4503,0.4873
scn,0.4308,0.6724,0.6007,0.5942,0.8314,0.7860,0.8260,0.5682,0.5198,0.5752,0.4503,,0.4678
vec,0.2964,0.6022,0.4678,0.5074,0.8082,0.7848,0.8182,0.4611,0.3532,0.4448,0.4873,0.4678,
