,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec
ita,—,"0.632 [0.603,0.663]","0.504 [0.469,0.542]","0.550 [0.514,0.584]","0.819 [0.794,0.845]","0.810 [0.786,0.836]","0.829 [0.804,0.853]","0.510 [0.478,0.544]","0.363 [0.326,0.402]","0.537 [0.502,0.574]","0.432 [0.391,0.472]","0.467 [0.431,0.504]","0.338 [0.296,0.379]"
fra,"0.632 [0.603,0.663]",—,"0.616 [0.582,0.646]","0.584 [0.547,0.622]","0.842 [0.815,0.868]","0.875 [0.853,0.894]","0.848 [0.824,0.873]","0.637 [0.603,0.673]","0.678 [0.649,0.709]","0.732 [0.700,0.761]","0.675 [0.646,0.705]","0.704 [0.672,0.734]","0.636 [0.602,0.669]"
spa,"0.504 [0.469,0.542]","0.616 [0.582,0.646]",—,"0.432 [0.390,0.470]","0.857 [0.837,0.877]","0.837 [0.816,0.860]","0.842 [0.815,0.867]","0.611 [0.574,0.647]","0.582 [0.546,0.615]","0.683 [0.652,0.716]","0.603 [0.567,0.635]","0.633 [0.601,0.665]","0.505 [0.468,0.547]"
cat,"0.550 [0.514,0.584]","0.584 [0.547,0.622]","0.432 [0.390,0.470]",—,"0.845 [0.819,0.869]","0.840 [0.819,0.864]","0.844 [0.818,0.871]","0.592 [0.555,0.626]","0.619 [0.588,0.651]","0.644 [0.609,0.678]","0.615 [0.577,0.653]","0.626 [0.594,0.660]","0.547 [0.507,0.586]"
deu,"0.819 [0.794,0.845]","0.842 [0.815,0.868]","0.857 [0.837,0.877]","0.845 [0.819,0.869]",—,"0.864 [0.844,0.885]","0.700 [0.660,0.737]","0.839 [0.813,0.861]","0.841 [0.818,0.865]","0.845 [0.819,0.867]","0.830 [0.807,0.855]","0.855 [0.831,0.880]","0.833 [0.808,0.855]"
slv,"0.810 [0.786,0.836]","0.875 [0.853,0.894]","0.837 [0.816,0.860]","0.840 [0.819,0.864]","0.864 [0.844,0.885]",—,"0.863 [0.843,0.884]","0.839 [0.816,0.862]","0.821 [0.796,0.845]","0.858 [0.834,0.879]","0.840 [0.816,0.863]","0.810 [0.786,0.835]","0.812 [0.785,0.838]"
eng,"0.829 [0.804,0.853]","0.848 [0.824,0.873]","0.842 [0.815,0.867]","0.844 [0.818,0.871]","0.700 [0.660,0.737]","0.863 [0.843,0.884]",—,"0.841 [0.815,0.866]","0.838 [0.812,0.863]","0.858 [0.834,0.883]","0.837 [0.813,0.861]","0.850 [0.826,0.872]","0.843 [0.818,0.868]"
fur,"0.510 [0.478,0.544]","0.637 [0.603,0.673]","0.611 [0.574,0.647]","0.592 [0.555,0.626]","0.839 [0.813,0.861]","0.839 [0.816,0.862]","0.841 [0.815,0.866]",—,"0.504 [0.468,0.540]","0.511 [0.470,0.549]","0.608 [0.576,0.639]","0.601 [0.568,0.633]","0.499 [0.461,0.540]"
lij,"0.363 [0.326,0.402]","0.678 [0.649,0.709]","0.582 [0.546,0.615]","0.619 [0.588,0.651]","0.841 [0.818,0.865]","0.821 [0.796,0.845]","0.838 [0.812,0.863]","0.504 [0.468,0.540]",—,"0.514 [0.474,0.552]","0.549 [0.516,0.583]","0.553 [0.520,0.587]","0.392 [0.353,0.434]"
lmo,"0.537 [0.502,0.574]","0.732 [0.700,0.761]","0.683 [0.652,0.716]","0.644 [0.609,0.678]","0.845 [0.819,0.867]","0.858 [0.834,0.879]","0.858 [0.834,0.883]","0.511 [0.470,0.549]","0.514 [0.474,0.552]",—,"0.631 [0.598,0.664]","0.611 [0.575,0.643]","0.485 [0.445,0.525]"
sc,"0.432 [0.391,0.472]","0.675 [0.646,0.705]","0.603 [0.567,0.635]","0.615 [0.577,0.653]","0.830 [0.807,0.855]","0.840 [0.816,0.863]","0.837 [0.813,0.861]","0.608 [0.576,0.639]","0.549 [0.516,0.583]","0.631 [0.598,0.664]",—,"0.487 [0.450,0.527]","0.525 [0.487,0.565]"
scn,"0.467 [0.431,0.504]","0.704 [0.672,0.734]","0.633 [0.601,0.665]","0.626 [0.594,0.660]","0.855 [0.831,0.880]","0.810 [0.786,0.835]","0.850 [0.826,0.872]","0.601 [0.568,0.633]","0.553 [0.520,0.587]","0.611 [0.575,0.643]","0.487 [0.450,0.527]",—,"0.503 [0.468,0.537]"
vec,"0.338 [0.296,0.379]","0.636 [0.602,0.669]","0.505 [0.468,0.547]","0.547 [0.507,0.586]","0.833 [0.808,0.855]","0.812 [0.785,0.838]","0.843 [0.818,0.868]","0.499 [0.461,0.540]","0.392 [0.353,0.434]","0.485 [0.445,0.525]","0.525 [0.487,0.565]","0.503 [0.468,0.537]",—
