concept_en,ita,fra,spa,cat,deu,slv,eng,fur,lij,lmo,sc,scn,vec,notes
I,io,je,yo,jo,ich,jaz,I,jo,mi,mi,deo,iu,mi,"sc Log; lij stressed 'mi' / unstressed 'me'; conf H all"
you (sg),tu,tu,tú,tu,du,ti,thou,tu,ti,ti,tue,tu,ti,"all H"
we,noi,nous,nosotros,nosaltres,wir,mi,we,nô,niätri,numm,nois,nuàutri,nialtri,"lij conf M (alt 'noiâtri'); lmo conf M (alt 'nun'); sc Log 'nois'; scn 'nuiàutri' alt; vec 'noaltri' alt; conf overall M"
one,uno,un,uno,un,eins,en,one,un,un,un,unu,unu,un,"all H"
two,due,deux,dos,dos,zwei,dva,two,doi,doî,dü,duos,dui,do,"lmo conf M (Milanese 'düü' or 'dü'); fur 'doi/dôs' for f.; lij 'doî'; vec 'do' (xe stato)"
person,persona,personne,persona,persona,Person,oseba,person,persone,personn-a,persona,persona,pirsuna,persona,"all H; pirsuna scn"
fish,pesce,poisson,pez,peix,Fisch,riba,fish,pês,pesciu,pess,pisce,pisci,pesse,"sc Log 'pisce'; lmo 'pess'; lij 'pesciu'; conf M for dialects"
dog,cane,chien,perro,gos,Hund,pes,dog,cjan,can,can,cane,cani,can,"fur cjan with /tʃ/; conf H all"
louse,pidocchio,pou,piojo,poll,Laus,uš,louse,pioli,piöggio,pioeucc,piogu,pidocchiu,pedociu,"sc Log 'piogu'; lmo 'pioeucc'; lij 'piöggio'; conf M; pidocchiu scn"
tree,albero,arbre,árbol,arbre,Baum,drevo,tree,arbul,erbô,arbur,arbore,arvulu,àlbaro,"vec 'àlbaro'; lij 'erbô'; sc Log 'àrbore'; conf M overall"
leaf,foglia,feuille,hoja,fulla,Blatt,list,leaf,fuee,foggia,foja,folla,fogghia,foja,"scn 'fogghia' /ɟ/; sc Log 'folla' or 'foza'; lij 'foggia'; conf M"
skin,pelle,peau,piel,pell,Haut,koža,skin,piel,pelle,pell,pedde,pedi,pèe,"sc Log 'pedde'; vec 'pee/pèe'; conf M"
blood,sangue,sang,sangre,sang,Blut,kri,blood,sanc,sangue,sangu,sànguine,sangu,sangue,"sc Log 'sànguine'; conf H mostly"
bone,osso,os,hueso,os,Knochen,kost,bone,vues,oso,oss,ossu,ossu,osso,"lij 'oso' / 'osso'; sc 'ossu'; conf H"
horn,corno,corne,cuerno,banya,Horn,rog,horn,cuar,corno,còren,corru,cornu,corno,"sc 'corru'; lmo 'còren' / 'corn'; conf M"
ear,orecchio,oreille,oreja,orella,Ohr,uho,ear,orele,oêgia,orègia,origra,oricchia,recia,"sc Log 'origra' / 'orija'; lmo 'orègia' / 'oregia'; conf M"
eye,occhio,œil,ojo,ull,Auge,oko,eye,voli,euggio,oeugg,ogru,occhiu,ocio,"sc Log 'ogru'; lmo 'oeugg'; lij 'euggio'; conf M"
nose,naso,nez,nariz,nas,Nase,nos,nose,nâs,nâzu,nas,nasu,nasu,naso,"all H mostly"
tooth,dente,dent,diente,dent,Zahn,zob,tooth,dint,dente,dent,dente,denti,dente,"all H; conf H"
tongue,lingua,langue,lengua,llengua,Zunge,jezik,tongue,lenghe,lengoa,lengua,limba,lingua,lengua,"sc Log 'limba' (key Sardinian feature); lij 'lengoa'; conf H/M"
knee,ginocchio,genou,rodilla,genoll,Knie,koleno,knee,zenoli,zenuggio,zenoeugg,bénugu,dinocchiu,zenocio,"sc Log 'bénugu' / 'gerronu'; lmo 'zenoeugg'; conf M-L"
hand,mano,main,mano,mà,Hand,roka,hand,man,man,man,manu,manu,man,"all H"
breast,seno,sein,pecho,pit,Brust,prsi,breast,pet,sêno,sen,sinu,pettu,seno,"variable across registers; conf M"
liver,fegato,foie,hígado,fetge,Leber,jetra,liver,fiât,fìgou,fideg,fìcadu,fìcatu,fegato,"lmo 'fideg'; sc Log 'fìcadu'; conf M"
drink,bere,boire,beber,beure,trinken,piti,drink,bevi,beive,bev,bìbere,vìviri,bévar,"sc Log 'bìbere'; scn 'vìviri'; lmo 'bev'; conf M"
see,vedere,voir,ver,veure,sehen,videti,see,viodi,véddu,vedè,bìdere,vìdiri,vedèr,"sc Log 'bìdere' (key b- → v- shift); scn 'vìdiri'; lmo 'vedè/vedee'; conf M"
hear,sentire,entendre,oír,sentir,hören,slišati,hear,sintî,sentî,sentì,intèndere,sèntiri,sentir,"sc Log 'intèndere' or 'sentire'; conf M"
die,morire,mourir,morir,morir,sterben,umreti,die,murî,moî,morì,mòrrere,mòriri,morir,"sc Log 'mòrrere'; conf M-H"
come,venire,venir,venir,venir,kommen,priti,come,vignî,vegnî,vegnì,bènnere,vìniri,vegnèr,"sc Log 'bènnere' (b- shift); conf M"
sun,sole,soleil,sol,sol,Sonne,sonce,sun,soreli,sô,sô,sole,suli,sol,"lij 'sô'; lmo 'sô' / 'sol'; conf M-H"
star,stella,étoile,estrella,estrella,Stern,zvezda,star,stele,stella,stella,istella,stiḍḍa,stéla,"scn 'stiḍḍa' (cacuminal /ɖɖ/); sc 'istella' (prosthetic i-); conf M"
water,acqua,eau,agua,aigua,Wasser,voda,water,aghe,ægoa,aqua,abba,acqua,acqua,"sc Log 'abba' (Sardinian unique form, key); lij 'ægoa'; fur 'aghe' /ˈajɛ/; conf H/M"
stone,pietra,pierre,piedra,pedra,Stein,kamen,stone,piere,prîa,preda,pedra,petra,piera,"sc Log 'pedra'; conf M"
fire,fuoco,feu,fuego,foc,Feuer,ogenj,fire,fûc,feugo,foeugh,fogu,focu,fógo,"lmo 'foeugh' / 'fœgh'; conf M"
path,sentiero,sentier,sendero,camí,Pfad,steza,path,troi,câmin,senté,caminu,strata,sentièro,"path/road overlap; lmo 'senté' as path, 'strada' for road; sc 'caminu' for road; conf L for many"
mountain,montagna,montagne,montaña,muntanya,Berg,gora,mountain,mont,montagna,montagna,monte,muntagna,montagna,"all derived from latin mons; conf H"
night,notte,nuit,noche,nit,Nacht,noč,night,gnot,neutte,nott,note,notti,note,"lij 'neutte'; lmo 'nott'; conf M-H"
full,pieno,plein,lleno,ple,voll,poln,full,plen,cinno,pien,pienu,chinu,pien,"lij 'cinno' / 'pin'; conf M"
new,nuovo,neuf,nuevo,nou,neu,nov,new,gnûf,neuvo,noeuv,nou,novu,novo,"lmo 'noeuv' / 'nœv'; lij 'neuvo'; conf M-H"
name,nome,nom,nombre,nom,Name,ime,name,non,nomme,nomm,nòmene,nomu,nome,"sc Log 'nòmene'; lmo 'nomm'; conf M-H"
