code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,ligure,0.0009453296661376953,sloveno,0.0013314485549926758,catalano,0.0019114017486572266
siciliano,ligure,0.008920550346374512,friulano,0.008960723876953125,sardo,0.00922161340713501
lombardo,friulano,0.0008270144462585449,ladino,0.0010390281677246094,ligure,0.0010450482368469238
sardo,catalano,0.004432499408721924,francese,0.004633903503417969,spagnolo,0.004739999771118164
ligure,veneto,0.0009453296661376953,ladino,0.000979781150817871,friulano,0.0009946823120117188
friulano,ladino,0.0006036758422851562,lombardo,0.0008270144462585449,ligure,0.0009946823120117188
ladino,friulano,0.0006036758422851562,ligure,0.000979781150817871,lombardo,0.0010390281677246094
italiano,greco,0.003680288791656494,spagnolo,0.004655718803405762,inglese,0.004872739315032959
spagnolo,francese,0.0009911656379699707,catalano,0.0011995434761047363,inglese,0.001817166805267334
francese,catalano,0.0007173418998718262,spagnolo,0.0009911656379699707,inglese,0.00150376558303833
catalano,francese,0.0007173418998718262,spagnolo,0.0011995434761047363,veneto,0.0019114017486572266
tedesco,inglese,0.002732574939727783,greco,0.0027763843536376953,francese,0.002998054027557373
inglese,francese,0.00150376558303833,spagnolo,0.001817166805267334,sloveno,0.00207674503326416
greco,inglese,0.002519547939300537,spagnolo,0.0025649666786193848,francese,0.0027130842208862305
arabo,greco,0.0027774572372436523,sloveno,0.00290834903717041,inglese,0.0030896663665771484
sloveno,veneto,0.0013314485549926758,spagnolo,0.0018388628959655762,francese,0.0018791556358337402
