code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,ligure,0.10313105583190918,ladino,0.1345806121826172,lombardo,0.13922542333602905
siciliano,lombardo,0.05983269214630127,friulano,0.06262385845184326,ligure,0.0712890625
lombardo,friulano,0.034760892391204834,ligure,0.038749754428863525,siciliano,0.05983269214630127
sardo,ligure,0.047923386096954346,lombardo,0.061829566955566406,friulano,0.0646965503692627
ligure,lombardo,0.038749754428863525,friulano,0.043054044246673584,sardo,0.047923386096954346
friulano,lombardo,0.034760892391204834,ligure,0.043054044246673584,siciliano,0.06262385845184326
ladino,ligure,0.06200486421585083,lombardo,0.06536078453063965,sardo,0.06855541467666626
italiano,spagnolo,0.0034270882606506348,francese,0.003568410873413086,tedesco,0.004538059234619141
spagnolo,italiano,0.0034270882606506348,francese,0.005272090435028076,catalano,0.005923449993133545
francese,tedesco,0.0031766295433044434,sloveno,0.00343400239944458,catalano,0.003515303134918213
catalano,francese,0.003515303134918213,sloveno,0.004623889923095703,tedesco,0.004784703254699707
tedesco,francese,0.0031766295433044434,sloveno,0.003995001316070557,italiano,0.004538059234619141
inglese,catalano,0.008719563484191895,francese,0.009036779403686523,italiano,0.010069668292999268
greco,francese,0.007718205451965332,italiano,0.008291482925415039,tedesco,0.008756697177886963
arabo,francese,0.0061484575271606445,catalano,0.007108032703399658,italiano,0.007208645343780518
sloveno,francese,0.00343400239944458,tedesco,0.003995001316070557,catalano,0.004623889923095703
