code,nn_1,dist_1,nn_2,dist_2,nn_3,dist_3
veneto,italiano,0.312851597855344,lombardo,0.4409339849011442,ligure,0.4778831028472946
siciliano,italiano,0.47422964971664827,lombardo,0.49416222874105875,sardo,0.5253322183472754
lombardo,veneto,0.4409339849011442,italiano,0.493915058739795,siciliano,0.49416222874105875
sardo,lombardo,0.5227286829732489,siciliano,0.5253322183472754,catalano,0.5627971641992218
ligure,italiano,0.40483654076605435,veneto,0.4778831028472946,lombardo,0.5473185191064895
friulano,lombardo,0.5433197538488996,italiano,0.5516767648452252,veneto,0.5584746778158566
ladino,lombardo,0.5442644272964572,italiano,0.5930005770956032,friulano,0.5986781361369412
italiano,veneto,0.312851597855344,ligure,0.40483654076605435,siciliano,0.47422964971664827
spagnolo,catalano,0.4543271760309975,italiano,0.5631229036690572,veneto,0.5721574566260651
francese,catalano,0.5367579939847634,inglese,0.5387643027538083,lombardo,0.6041033923007532
catalano,spagnolo,0.4543271760309975,lombardo,0.5210688939224426,francese,0.5367579939847634
tedesco,inglese,0.6065415638426608,lombardo,0.6723096853381136,francese,0.6782835639646292
inglese,francese,0.5387643027538083,catalano,0.5580283251589493,italiano,0.5877316331637066
greco,inglese,0.965168388917751,spagnolo,0.9678008753180332,francese,0.9685505909828378
arabo,inglese,0.9859607695395034,catalano,0.9873720679793767,ladino,0.9880610690050312
sloveno,inglese,0.6903329679026194,italiano,0.6937948848982012,veneto,0.7047084638601137
