,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.275010,0.101205,0.332366,0.110758,0.190575,0.262508,0.059721,0.234542,0.384979,0.260669,0.493091,0.397538,0.565231,0.611227,0.313970
siciliano,0.275010,0.000000,0.304022,0.295314,0.235663,0.311272,0.416558,0.164070,0.454572,0.492479,0.472251,0.586995,0.520757,0.589653,0.510875,0.367634
lombardo,0.101205,0.304022,0.000000,0.365755,0.184585,0.163560,0.185186,0.153407,0.238784,0.334532,0.171950,0.424222,0.305916,0.510942,0.506543,0.404337
sardo,0.332366,0.295314,0.365755,0.000000,0.363990,0.333502,0.349394,0.300085,0.204688,0.346209,0.262800,0.448764,0.344369,0.665764,0.461152,0.425951
ligure,0.110758,0.235663,0.184585,0.363990,0.000000,0.262528,0.300271,0.112632,0.253295,0.390373,0.278602,0.519433,0.384529,0.591622,0.599806,0.367340
friulano,0.190575,0.311272,0.163560,0.333502,0.262528,0.000000,0.349293,0.196182,0.363940,0.229094,0.271078,0.372926,0.286777,0.579067,0.537434,0.437423
ladino,0.262508,0.416558,0.185186,0.349394,0.300271,0.349293,0.000000,0.335539,0.246772,0.314761,0.214663,0.433558,0.315967,0.501582,0.546280,0.359075
italiano,0.059721,0.164070,0.153407,0.300085,0.112632,0.196182,0.335539,0.000000,0.286599,0.393889,0.319351,0.510880,0.407757,0.603282,0.576004,0.367385
spagnolo,0.234542,0.454572,0.238784,0.204688,0.253295,0.363940,0.246772,0.286599,0.000000,0.352979,0.112263,0.530164,0.363861,0.657816,0.481444,0.440727
francese,0.384979,0.492479,0.334532,0.346209,0.390373,0.229094,0.314761,0.393889,0.352979,0.000000,0.187761,0.407658,0.266254,0.577685,0.626472,0.560210
catalano,0.260669,0.472251,0.171950,0.262800,0.278602,0.271078,0.214663,0.319351,0.112263,0.187761,0.000000,0.523575,0.312181,0.616952,0.524959,0.534495
tedesco,0.493091,0.586995,0.424222,0.448764,0.519433,0.372926,0.433558,0.510880,0.530164,0.407658,0.523575,0.000000,0.316114,0.457178,0.717100,0.411347
inglese,0.397538,0.520757,0.305916,0.344369,0.384529,0.286777,0.315967,0.407757,0.363861,0.266254,0.312181,0.316114,0.000000,0.737424,0.608740,0.525397
greco,0.565231,0.589653,0.510942,0.665764,0.591622,0.579067,0.501582,0.603282,0.657816,0.577685,0.616952,0.457178,0.737424,0.000000,0.375990,0.492762
arabo,0.611227,0.510875,0.506543,0.461152,0.599806,0.537434,0.546280,0.576004,0.481444,0.626472,0.524959,0.717100,0.608740,0.375990,0.000000,0.737452
sloveno,0.313970,0.367634,0.404337,0.425951,0.367340,0.437423,0.359075,0.367385,0.440727,0.560210,0.534495,0.411347,0.525397,0.492762,0.737452,0.000000
