,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
veneto,0.054843,-0.061940,0.155911,0.055027,0.066353,-0.055569,0.100928,0.040071,-0.072770,-0.169453,-0.002127,-0.051653,0.091433,-0.007986,0.155104,-0.030590,0.102762,0.146994,-0.025644,-0.014366,-0.197479,-0.026537,0.187950,0.175864,0.063063,-0.011311,-0.182841,0.151758,-0.084827,-0.197284,-0.010594,-0.097796,-0.005914,0.000156,-0.101613,0.016027,0.125052,-0.060673,0.022053,0.093474,0.052853,0.167374,0.251736,-0.059614,-0.055214,-0.034904,-0.120812,0.001293,0.203130,0.115126,-0.063678,0.035038,0.145433,0.021818,0.145238,-0.005272,-0.105729,0.077263,0.099908,-0.166495,0.084743,0.039240,-0.119895,0.003153,0.189447,-0.003735,-0.008640,0.014241,0.080098,-0.101900,-0.038248,-0.086212,-0.029823,-0.072410,-0.114028,-0.082483,-0.041608,0.106481,-0.086964,-0.104144,0.119134,0.016204,0.006112,-0.002055,0.037156,-0.011062,-0.002665,-0.061559,-0.135056,0.067387,0.054853,0.028639,-0.193499,0.040000,0.112524,0.004711,-0.192853,-0.034075,-0.151236,0.078615
siciliano,0.015676,0.018050,0.202265,0.028570,0.137145,-0.030563,0.190631,0.063639,-0.012012,0.007382,-0.013168,-0.024208,0.077859,0.000643,0.152891,-0.037475,0.143422,-0.050883,-0.079710,0.009742,-0.091125,0.060826,0.113993,0.058095,0.080904,-0.132000,-0.216173,0.190639,0.038632,-0.106800,-0.107394,0.003958,-0.183687,0.013360,-0.066403,-0.006551,0.105081,-0.151265,0.117572,0.186347,0.066919,0.135055,0.233694,-0.041488,0.019785,0.074640,-0.091596,0.153173,0.222312,-0.069927,-0.042423,0.022760,0.027880,0.035015,-0.008220,0.064430,-0.169175,0.203533,0.040958,-0.105930,0.191179,0.021717,-0.062834,0.049868,0.093194,0.150209,0.010670,-0.016023,-0.034050,0.010036,-0.065179,-0.147044,-0.032114,-0.001602,0.051582,0.010409,-0.068430,-0.098497,-0.067116,-0.083263,0.030078,0.107516,-0.007836,0.034160,0.078370,-0.043936,-0.009552,0.059211,-0.163563,0.035434,-0.056933,0.005753,-0.071030,0.060423,0.166194,-0.009560,-0.202053,0.089198,-0.036080,0.133504
lombardo,-0.016585,-0.064763,0.069736,0.060323,0.113261,-0.052794,0.038656,0.070229,0.025162,-0.148101,-0.035018,-0.096675,0.103701,0.020116,0.138863,-0.019415,0.172768,0.095804,-0.038691,0.016352,-0.178007,-0.039043,0.162494,0.033971,-0.039749,0.055824,-0.232349,0.128827,-0.024657,-0.084178,0.063562,-0.137864,0.035292,-0.067274,-0.024070,0.070391,0.147740,-0.102825,0.055648,0.046475,0.093397,0.122619,0.216920,-0.057456,0.003694,-0.029157,-0.197716,0.020408,0.332665,0.010121,0.010158,0.016222,0.126612,0.079469,-0.009506,-0.044309,-0.079289,0.033371,0.133195,-0.074312,0.065028,0.040829,-0.225586,0.044099,0.104442,0.030376,0.083421,0.081203,0.108310,-0.001147,0.021123,-0.075952,-0.115290,-0.162259,-0.099559,-0.030234,-0.044323,0.002830,-0.133465,-0.116785,0.203744,0.040406,0.011093,0.011560,0.015800,-0.004128,-0.049960,-0.075377,-0.145743,0.089874,-0.069022,-0.050529,-0.193499,0.027910,0.079062,-0.059273,-0.178196,-0.000892,-0.094417,0.027161
sardo,-0.064210,0.030196,0.129746,0.149650,0.036404,0.080527,-0.036323,-0.024772,-0.159299,-0.072158,-0.105070,0.054254,0.023340,0.094234,0.171432,-0.128156,0.192174,-0.138870,-0.006784,-0.025862,-0.105531,0.194034,0.220470,0.101515,0.088994,-0.127138,-0.105140,0.038444,0.104824,-0.020659,0.056639,-0.032221,-0.068899,0.020761,-0.072473,0.028311,0.173159,-0.046192,0.001196,0.059567,0.029485,0.218507,0.197103,0.017948,-0.042640,0.060932,-0.164858,0.124597,0.140704,-0.024778,-0.009667,-0.049628,-0.013624,-0.009910,0.131335,-0.042245,-0.014532,0.206233,0.106819,-0.028193,0.207093,0.052970,-0.113612,0.144229,0.103151,0.030076,-0.035537,-0.003606,0.142199,-0.013345,-0.095845,0.003119,-0.001054,-0.072109,-0.008412,-0.107467,-0.098039,-0.128334,-0.104856,-0.029606,0.132727,0.140544,0.002184,-0.069599,0.016301,0.026634,0.044197,-0.158340,-0.068346,-0.055676,-0.114292,-0.033208,-0.185502,0.115358,0.014359,0.026647,-0.110716,0.049691,-0.107855,0.073406
ligure,0.022287,-0.048805,0.116382,0.026663,-0.000427,-0.011960,0.064566,0.044346,-0.070337,-0.153636,0.040391,-0.052011,0.080076,0.057175,0.137744,-0.053561,0.035066,0.060333,-0.085913,-0.077454,-0.072954,0.077337,0.168066,0.171007,0.068210,-0.076521,-0.125617,0.111071,0.057898,-0.091766,-0.153430,-0.108755,0.021056,-0.150920,-0.026162,0.081761,0.129585,0.012113,0.068585,0.041179,0.081459,0.180078,0.244725,-0.020423,-0.062549,-0.049644,-0.187528,0.027762,0.211803,-0.033566,-0.007440,0.003351,0.059596,0.041803,0.192592,-0.116112,-0.135667,0.074190,0.141624,-0.181334,0.091041,-0.003501,-0.115961,0.050303,0.280121,0.072049,0.092433,0.023477,0.153879,-0.119779,0.030541,-0.065941,0.031763,-0.073104,-0.073274,0.012128,0.018431,-0.079379,-0.138343,0.004853,0.176731,-0.028719,0.130338,-0.004434,0.030374,0.042503,0.065323,0.036550,-0.100498,-0.061673,-0.029497,0.073814,-0.179306,0.064284,0.154246,-0.012029,-0.146596,0.051320,-0.066948,0.022821
friulano,0.055451,-0.047431,0.242642,0.052453,0.097754,-0.019093,0.002401,0.024974,-0.023512,-0.129677,-0.079521,-0.124534,0.080226,-0.030990,0.158406,-0.112634,0.049056,0.034018,-0.049069,-0.026880,-0.161620,0.051222,0.142571,0.094883,0.063439,0.072393,-0.107094,0.132582,0.082677,-0.099318,-0.011514,-0.049256,-0.011273,-0.243098,-0.040664,0.089643,0.194973,-0.061296,-0.006955,0.022545,0.090382,0.102592,0.226013,0.066303,-0.052425,-0.001185,-0.289278,0.008181,0.282961,0.005015,0.006431,0.097223,0.136627,0.000766,0.001386,-0.052341,-0.115081,0.028624,0.164542,-0.105654,0.058756,-0.037324,-0.046255,-0.111655,0.166157,0.049786,-0.021041,-0.010168,0.175347,0.006914,0.000173,-0.112464,-0.041336,-0.138091,-0.134315,0.022056,0.028503,-0.040933,-0.064742,-0.040161,0.094416,0.068838,-0.101864,-0.001589,0.007818,0.006339,-0.027588,0.053390,-0.144773,0.024069,0.048556,0.010848,-0.148852,0.130013,0.092500,0.005825,-0.124526,0.130871,-0.069911,0.050228
ladino,0.030812,0.024581,0.061340,-0.039278,-0.016778,0.039206,0.050984,0.018872,-0.015817,-0.115647,-0.158642,-0.035110,0.032683,-0.015676,0.018856,-0.054155,0.140402,-0.007541,-0.049738,-0.020968,-0.102360,0.042141,0.146863,0.068361,0.080229,-0.036165,-0.106689,0.140131,-0.045591,-0.049352,-0.013677,-0.147348,-0.011008,-0.098498,0.054408,0.080406,0.204450,0.039026,0.062857,0.071672,0.084960,0.104746,0.177339,-0.027107,0.146573,-0.024665,-0.210518,-0.041862,0.221853,0.100870,0.031649,-0.096847,0.078685,0.048594,0.034503,-0.036487,-0.202996,0.065012,0.010037,-0.080585,0.041686,0.041038,-0.243416,0.242062,0.093247,0.017336,0.025645,0.112255,0.110923,-0.012104,0.018362,-0.100628,0.006999,-0.074779,0.070610,-0.093686,0.006865,0.045776,-0.099901,-0.090068,0.153440,-0.034570,0.122562,-0.071432,-0.046385,-0.103223,-0.064157,-0.027688,-0.058533,-0.044898,0.028736,0.018963,-0.067313,0.163770,0.066473,0.146311,-0.333594,-0.001695,-0.223710,-0.023422
italiano,0.013666,-0.048611,0.216439,0.002090,0.041469,-0.036191,0.089934,0.053682,0.072648,-0.094596,-0.043232,-0.077530,0.127955,0.020247,0.096385,-0.082344,0.119678,0.067297,-0.114379,0.055794,-0.168041,-0.035795,0.208036,0.193267,0.031048,-0.089477,-0.210998,0.182623,0.038714,-0.163790,-0.037550,-0.066325,-0.110964,-0.111685,-0.064140,0.030894,0.120265,-0.121680,0.054201,0.083190,0.094909,0.105767,0.150174,0.052708,-0.034129,-0.036467,-0.194051,0.087358,0.197595,0.053769,-0.082344,0.043013,0.039906,0.033168,0.098474,-0.011618,-0.141979,0.172873,0.100216,-0.177176,0.092610,-0.063296,-0.091278,-0.016691,0.167179,0.108685,-0.055802,-0.016107,0.081309,-0.046057,-0.014290,-0.106151,-0.038306,-0.078783,-0.060665,-0.050776,0.018203,0.062542,-0.098140,-0.113424,0.127141,0.097896,0.058521,0.050615,0.057674,-0.007972,0.010595,-0.032494,-0.169040,0.049711,0.018802,0.045357,-0.206239,0.082842,0.099345,0.028546,-0.115722,0.048288,-0.152688,0.067371
spagnolo,-0.013798,-0.039995,0.161745,0.051769,-0.058618,-0.018009,-0.011585,-0.065574,-0.082446,-0.213688,-0.103133,-0.052140,0.129451,0.123102,-0.001268,-0.044128,0.096547,-0.088652,-0.015718,-0.096665,-0.162227,0.059116,0.228326,0.157057,0.026502,-0.039823,-0.302990,0.101878,-0.116426,-0.038104,-0.008190,-0.076397,0.135423,-0.077835,-0.095234,0.071731,0.097274,-0.018726,0.017186,0.157079,0.090614,0.142914,0.218278,0.080035,-0.017300,-0.041797,-0.215672,-0.018224,0.183956,0.045097,0.083831,-0.061439,0.038108,0.016496,0.159273,-0.048185,-0.124178,0.133785,0.154773,-0.078211,0.024936,0.046235,-0.239213,0.115899,0.118742,-0.064124,0.024665,0.077334,0.087583,-0.062547,-0.058532,-0.000364,-0.078849,-0.034546,0.114296,-0.091721,0.019813,0.036596,-0.054675,-0.092673,0.059702,0.123248,0.009981,0.088596,-0.053130,-0.014739,0.093594,-0.146402,-0.090661,-0.050380,-0.121227,0.021168,-0.016523,0.081106,0.018227,0.000406,-0.049233,-0.014973,-0.084764,-0.002252
francese,0.016144,-0.017681,0.059820,0.067407,0.177303,-0.052024,-0.108501,-0.091265,-0.067721,-0.180042,-0.029670,-0.047748,0.069995,-0.104237,0.043749,-0.090360,0.125832,-0.043910,-0.126351,-0.058967,-0.088071,0.040743,0.179406,0.122743,0.057675,0.157848,0.039505,0.007496,-0.076449,-0.013783,0.011978,0.043320,-0.058625,-0.122648,-0.029206,0.036275,0.141801,-0.030697,-0.009640,0.153119,0.149625,0.115741,0.132310,0.144078,-0.016296,-0.000312,-0.247755,0.095209,0.340550,0.035501,-0.051158,0.108370,0.027800,-0.026749,0.038019,0.042570,-0.217096,0.083981,0.106039,0.019707,0.211611,0.120810,-0.157417,0.138201,0.097169,0.012841,0.019124,0.035099,0.083357,-0.001244,-0.021218,-0.000412,-0.077090,-0.111061,0.076379,0.018190,-0.039560,-0.000038,-0.028700,-0.150241,0.145366,0.009466,-0.121280,0.085284,-0.036395,0.026921,-0.019776,-0.044144,-0.065613,-0.029274,0.082984,0.120898,-0.035736,0.152042,0.004483,0.074630,-0.217473,0.014224,-0.055871,0.031507
