,nap,scn,vec,lmo,sc,ita,es,fr,ca,de,el,ar,sl,en
nap,0.000000,0.141240,0.208359,0.191904,0.211625,0.324286,0.314936,0.305977,0.257426,0.321098,0.331441,0.314896,0.289215,0.339724
scn,0.141240,0.000000,0.067278,0.078459,0.064075,0.131233,0.126707,0.125042,0.086469,0.141257,0.251451,0.157181,0.110509,0.142355
vec,0.208359,0.067278,0.000000,0.030926,0.050786,0.079641,0.083860,0.082663,0.055833,0.102221,0.237148,0.133004,0.084382,0.101321
lmo,0.191904,0.078459,0.030926,0.000000,0.060166,0.103850,0.113728,0.101936,0.079754,0.117122,0.259973,0.170027,0.098486,0.119200
sc,0.211625,0.064075,0.050786,0.060166,0.000000,0.098361,0.097774,0.093578,0.081237,0.121467,0.244151,0.151736,0.099653,0.112175
ita,0.324286,0.131233,0.079641,0.103850,0.098361,0.000000,0.012449,0.020177,0.044829,0.025747,0.221620,0.128895,0.033728,0.035713
es,0.314936,0.126707,0.083860,0.113728,0.097774,0.012449,0.000000,0.019910,0.033468,0.024208,0.211867,0.113458,0.028955,0.040498
fr,0.305977,0.125042,0.082663,0.101936,0.093578,0.020177,0.019910,0.000000,0.038484,0.021902,0.204767,0.123769,0.022938,0.048698
ca,0.257426,0.086469,0.055833,0.079754,0.081237,0.044829,0.033468,0.038484,0.000000,0.038889,0.162884,0.082106,0.025223,0.072285
de,0.321098,0.141257,0.102221,0.117122,0.121467,0.025747,0.024208,0.021902,0.038889,0.000000,0.192975,0.120778,0.016807,0.051174
el,0.331441,0.251451,0.237148,0.259973,0.244151,0.221620,0.211867,0.204767,0.162884,0.192975,0.000000,0.159537,0.173970,0.253433
ar,0.314896,0.157181,0.133004,0.170027,0.151736,0.128895,0.113458,0.123769,0.082106,0.120778,0.159537,0.000000,0.098350,0.148045
sl,0.289215,0.110509,0.084382,0.098486,0.099653,0.033728,0.028955,0.022938,0.025223,0.016807,0.173970,0.098350,0.000000,0.059016
en,0.339724,0.142355,0.101321,0.119200,0.112175,0.035713,0.040498,0.048698,0.072285,0.051174,0.253433,0.148045,0.059016,0.000000
