,veneto,siciliano,lombardo,sardo,ligure,friulano,ladino,italiano,spagnolo,francese,catalano,tedesco,inglese,greco,arabo,sloveno
veneto,0.000000,0.353628,0.135772,0.264236,0.074689,0.167976,0.110847,0.235990,0.180295,0.291143,0.243852,0.732812,0.731085,0.497940,0.653275,0.329940
siciliano,0.353628,0.000000,0.250698,0.311108,0.296376,0.209705,0.265677,0.244406,0.392333,0.375220,0.317984,0.785945,0.754347,0.618619,0.746928,0.561710
lombardo,0.135772,0.250698,0.000000,0.260146,0.104300,0.096352,0.098189,0.257667,0.209222,0.198089,0.143192,0.670049,0.677378,0.493799,0.730542,0.454635
sardo,0.264236,0.311108,0.260146,0.000000,0.220643,0.235355,0.256885,0.374681,0.255583,0.269798,0.236997,0.637400,0.667462,0.500150,0.693311,0.520811
ligure,0.074689,0.296376,0.104300,0.220643,0.000000,0.122151,0.114840,0.270525,0.231274,0.253286,0.243963,0.757280,0.772368,0.505172,0.752948,0.412231
friulano,0.167976,0.209705,0.096352,0.235355,0.122151,0.000000,0.078951,0.207302,0.189378,0.201658,0.149110,0.668750,0.636324,0.494151,0.687638,0.366567
ladino,0.110847,0.265677,0.098189,0.256885,0.114840,0.078951,0.000000,0.229636,0.199852,0.247693,0.185224,0.669510,0.673853,0.489551,0.636540,0.350022
italiano,0.235990,0.244406,0.257667,0.374681,0.270525,0.207302,0.229636,0.000000,0.154330,0.272238,0.212274,0.684335,0.649087,0.452243,0.542260,0.314015
spagnolo,0.180295,0.392333,0.209222,0.255583,0.231274,0.189378,0.199852,0.154330,0.000000,0.137283,0.079205,0.554125,0.530513,0.358580,0.510051,0.279853
francese,0.291143,0.375220,0.198089,0.269798,0.253286,0.201658,0.247693,0.272238,0.137283,-0.000000,0.084485,0.424989,0.424353,0.327330,0.529193,0.372710
catalano,0.243852,0.317984,0.143192,0.236997,0.243963,0.149110,0.185224,0.212274,0.079205,0.084485,0.000000,0.493104,0.485154,0.386410,0.587106,0.366252
tedesco,0.732812,0.785945,0.670049,0.637400,0.757280,0.668750,0.669510,0.684335,0.554125,0.424989,0.493104,-0.000000,0.243541,0.379508,0.375780,0.470676
inglese,0.731085,0.754347,0.677378,0.667462,0.772368,0.636324,0.673853,0.649087,0.530513,0.424353,0.485154,0.243541,0.000000,0.454418,0.431747,0.427023
greco,0.497940,0.618619,0.493799,0.500150,0.505172,0.494151,0.489551,0.452243,0.358580,0.327330,0.386410,0.379508,0.454418,0.000000,0.330813,0.336890
arabo,0.653275,0.746928,0.730542,0.693311,0.752948,0.687638,0.636540,0.542260,0.510051,0.529193,0.587106,0.375780,0.431747,0.330813,0.000000,0.401596
sloveno,0.329940,0.561710,0.454635,0.520811,0.412231,0.366567,0.350022,0.314015,0.279853,0.372710,0.366252,0.470676,0.427023,0.336890,0.401596,0.000000
