,arabic,catalan,emilian,english,french,friulian,gallurese,german,greek,italian,ligurian,lombard,neapolitan,occitan,piedmontese,portuguese,romanian,sardinian,sicilian,slovenian,spanish
arabic,0,40,40,40,40,40,18,40,40,40,40,40,40,37,40,40,39,39,38,40,40
catalan,40,0,40,40,40,40,18,40,40,40,40,40,40,37,40,40,39,39,38,40,40
emilian,40,40,0,40,40,40,18,40,40,40,40,40,40,37,40,40,39,39,38,40,40
english,40,40,40,0,100,40,18,40,99,40,40,40,40,37,40,40,39,39,38,40,100
french,40,40,40,100,0,40,18,40,99,40,40,40,40,37,40,40,39,39,38,40,100
friulian,40,40,40,40,40,0,18,40,40,40,40,40,40,37,40,40,39,39,38,40,40
gallurese,18,18,18,18,18,18,0,18,18,18,18,18,18,18,18,18,17,17,17,18,18
german,40,40,40,40,40,40,18,0,40,40,40,40,40,37,40,40,39,39,38,40,40
greek,40,40,40,99,99,40,18,40,0,40,40,40,40,37,40,40,39,39,38,40,99
italian,40,40,40,40,40,40,18,40,40,0,40,40,40,37,40,40,39,39,38,40,40
ligurian,40,40,40,40,40,40,18,40,40,40,0,40,40,37,40,40,39,39,38,40,40
lombard,40,40,40,40,40,40,18,40,40,40,40,0,40,37,40,40,39,39,38,40,40
neapolitan,40,40,40,40,40,40,18,40,40,40,40,40,0,37,40,40,39,39,38,40,40
occitan,37,37,37,37,37,37,18,37,37,37,37,37,37,0,37,37,36,36,36,37,37
piedmontese,40,40,40,40,40,40,18,40,40,40,40,40,40,37,0,40,39,39,38,40,40
portuguese,40,40,40,40,40,40,18,40,40,40,40,40,40,37,40,0,39,39,38,40,40
romanian,39,39,39,39,39,39,17,39,39,39,39,39,39,36,39,39,0,38,37,39,39
sardinian,39,39,39,39,39,39,17,39,39,39,39,39,39,36,39,39,38,0,38,39,39
sicilian,38,38,38,38,38,38,17,38,38,38,38,38,38,36,38,38,37,38,0,38,38
slovenian,40,40,40,40,40,40,18,40,40,40,40,40,40,37,40,40,39,39,38,0,40
spanish,40,40,40,100,100,40,18,40,99,40,40,40,40,37,40,40,39,39,38,40,0
