,bulgarian,catalan,czech,english,french,german,greek,italian,polish,portuguese,romanian,slovenian,spanish
bulgarian,0.0000,0.8809,0.7025,0.9423,0.9203,0.9264,0.8927,0.8725,0.7255,0.8976,0.8492,0.6995,0.8919
catalan,0.8809,0.0000,0.9318,0.9201,0.8144,0.9172,0.9168,0.7748,0.9122,0.7749,0.8017,0.9221,0.6986
czech,0.7025,0.9318,0.0000,0.9262,0.9233,0.9160,0.9035,0.8870,0.7202,0.9181,0.8923,0.7058,0.9060
english,0.9423,0.9201,0.9262,0.0000,0.8920,0.8362,0.9442,0.9104,0.9391,0.9181,0.9202,0.9238,0.9244
french,0.9203,0.8144,0.9233,0.8920,0.0000,0.9187,0.9231,0.8000,0.9239,0.8013,0.8506,0.9161,0.8450
german,0.9264,0.9172,0.9160,0.8362,0.9187,0.0000,0.9366,0.9168,0.9294,0.9442,0.9138,0.9052,0.9304
greek,0.8927,0.9168,0.9035,0.9442,0.9231,0.9366,0.0000,0.8325,0.9239,0.9079,0.8743,0.9190,0.8528
italian,0.8725,0.7748,0.8870,0.9104,0.8000,0.9168,0.8325,0.0000,0.9049,0.7158,0.7226,0.8862,0.6382
polish,0.7255,0.9122,0.7202,0.9391,0.9239,0.9294,0.9239,0.9049,0.0000,0.9338,0.9037,0.7771,0.9091
portuguese,0.8976,0.7749,0.9181,0.9181,0.8013,0.9442,0.9079,0.7158,0.9338,0.0000,0.8174,0.9322,0.6922
romanian,0.8492,0.8017,0.8923,0.9202,0.8506,0.9138,0.8743,0.7226,0.9037,0.8174,0.0000,0.9055,0.7999
slovenian,0.6995,0.9221,0.7058,0.9238,0.9161,0.9052,0.9190,0.8862,0.7771,0.9322,0.9055,0.0000,0.9204
spanish,0.8919,0.6986,0.9060,0.9244,0.8450,0.9304,0.8528,0.6382,0.9091,0.6922,0.7999,0.9204,0.0000
