,bulgarian,catalan,czech,english,french,german,greek,italian,polish,portuguese,romanian,slovenian,spanish
bulgarian,0,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,1012,1013
catalan,1013,0,1016,1016,1016,1016,1016,1016,1016,1016,1016,1015,1016
czech,1013,1016,0,1016,1016,1016,1016,1016,1016,1016,1016,1015,1016
english,1013,1016,1016,0,1016,1016,1016,1016,1016,1016,1016,1015,1016
french,1013,1016,1016,1016,0,1016,1016,1016,1016,1016,1016,1015,1016
german,1013,1016,1016,1016,1016,0,1016,1016,1016,1016,1016,1015,1016
greek,1013,1016,1016,1016,1016,1016,0,1016,1016,1016,1016,1015,1016
italian,1013,1016,1016,1016,1016,1016,1016,0,1016,1016,1016,1015,1016
polish,1013,1016,1016,1016,1016,1016,1016,1016,0,1016,1016,1015,1016
portuguese,1013,1016,1016,1016,1016,1016,1016,1016,1016,0,1016,1015,1016
romanian,1013,1016,1016,1016,1016,1016,1016,1016,1016,1016,0,1015,1016
slovenian,1012,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,0,1015
spanish,1013,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1015,0
