method,experiment,variant,model_id,Spearman ρ (full matrix),CI 2.5% (full),CI 97.5% (full),Mantel p (full matrix),Spearman ρ (dialect ↔ external),CI 2.5% (d↔e),CI 97.5% (d↔e),Mantel p (dialect ↔ external),n_boot
word2vec,word2vec_wikiOLDI_native,flores/centroid,word2vec__word2vec_wikiOLDI_native__flores_centroid,0.3826,0.3770,0.3847,0.0142,-0.0119,-0.0248,-0.0039,0.9607,1000
word2vec,word2vec_wikiOLDI_normalized,flores/centroid,word2vec__word2vec_wikiOLDI_normalized__flores_centroid,0.3722,0.3679,0.3760,0.0164,-0.1123,-0.1190,-0.0954,0.6194,1000
tfidf,tfidf_wikiOLDI_native,flores/word,tfidf__tfidf_wikiOLDI_native__flores_word,0.3686,0.3626,0.3754,0.0131,0.1366,0.1209,0.1455,0.5145,1000
tfidf,tfidf_wikiOLDI_normalized,flores/word,tfidf__tfidf_wikiOLDI_normalized__flores_word,0.3633,0.3577,0.3688,0.0128,0.1264,0.1144,0.1363,0.5521,1000
tfidf,tfidf_wikiOLDI_normalized,flores/char,tfidf__tfidf_wikiOLDI_normalized__flores_char,0.3226,0.3180,0.3289,0.0358,-0.0870,-0.0979,-0.0805,0.6862,1000
tfidf,tfidf_wikiOLDI_native,flores/char,tfidf__tfidf_wikiOLDI_native__flores_char,0.2725,0.2673,0.2780,0.0767,-0.1501,-0.1635,-0.1450,0.4926,1000
fasttext,fasttext_wikiOLDI_native,flores/centroid,fasttext__fasttext_wikiOLDI_native__flores_centroid,0.2535,0.2491,0.2580,0.1020,-0.2203,-0.2345,-0.2110,0.3096,1000
fasttext,fasttext_wikiOLDI_normalized,flores/centroid,fasttext__fasttext_wikiOLDI_normalized__flores_centroid,0.2441,0.2410,0.2476,0.1260,-0.2298,-0.2376,-0.2255,0.3032,1000
canine,canine_zeroshot_native,flores/centroid,canine__canine_zeroshot_native__flores_centroid,0.1637,0.1540,0.1681,0.2673,-0.0266,-0.0393,-0.0154,0.8933,1000
canine,canine_finetuned_wikiOLDI_dialects_native,flores/centroid,canine__canine_finetuned_wikiOLDI_dialects_native__flores_centroid,0.1398,0.1363,0.1441,0.3470,-0.2060,-0.2133,-0.1982,0.3102,1000
multilingual_xlmr,xlmr_zeroshot_native,flores/centroid,multilingual_xlmr__xlmr_zeroshot_native__flores_centroid,0.0949,0.0907,0.1032,0.3374,-0.1663,-0.1776,-0.1376,0.2413,1000
multilingual_xlmr,xlmr_finetuned_wikiOLDI_dialects_native,flores/centroid,multilingual_xlmr__xlmr_finetuned_wikiOLDI_dialects_native__flores_centroid,0.0120,0.0065,0.0176,0.9387,0.2857,0.2748,0.2923,0.1846,1000
labse,labse_finetuned_oldi_dialects_native,flores/centroid,labse__labse_finetuned_oldi_dialects_native__flores_centroid,0.0062,-0.0150,0.0259,0.9537,0.1390,0.0852,0.2016,0.3358,1000
labse,labse_zeroshot_native,flores/centroid,labse__labse_zeroshot_native__flores_centroid,-0.1099,-0.1225,-0.0979,0.3934,-0.1060,-0.1424,-0.0701,0.5635,1000
