method,experiment,variant,model_id,dialect,gold_top3,model_top3,overlap_count,precision_at_3
canine,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,canine__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,fur,"deu,ita,slv","cat,fra,ita",1,0.3333
canine,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,canine__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
canine,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,canine__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
canine,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,canine__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,sc,"cat,ita,spa","cat,fra,spa",2,0.6667
canine,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,canine__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,scn,"fra,ita,spa","cat,ita,spa",2,0.6667
canine,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,canine__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
canine,mlm_wiki_to_flores_oldi,flores/centroid,canine__mlm_wiki_to_flores_oldi__flores_centroid,fur,"deu,ita,slv","cat,fra,spa",0,0.0000
canine,mlm_wiki_to_flores_oldi,flores/centroid,canine__mlm_wiki_to_flores_oldi__flores_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
canine,mlm_wiki_to_flores_oldi,flores/centroid,canine__mlm_wiki_to_flores_oldi__flores_centroid,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
canine,mlm_wiki_to_flores_oldi,flores/centroid,canine__mlm_wiki_to_flores_oldi__flores_centroid,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
canine,mlm_wiki_to_flores_oldi,flores/centroid,canine__mlm_wiki_to_flores_oldi__flores_centroid,scn,"fra,ita,spa","cat,ita,spa",2,0.6667
canine,mlm_wiki_to_flores_oldi,flores/centroid,canine__mlm_wiki_to_flores_oldi__flores_centroid,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
canine,mlm_wiki_to_flores_oldi,oldi/centroid,canine__mlm_wiki_to_flores_oldi__oldi_centroid,fur,"deu,ita,slv","cat,fra,spa",0,0.0000
canine,mlm_wiki_to_flores_oldi,oldi/centroid,canine__mlm_wiki_to_flores_oldi__oldi_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
canine,mlm_wiki_to_flores_oldi,oldi/centroid,canine__mlm_wiki_to_flores_oldi__oldi_centroid,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
canine,mlm_wiki_to_flores_oldi,oldi/centroid,canine__mlm_wiki_to_flores_oldi__oldi_centroid,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
canine,mlm_wiki_to_flores_oldi,oldi/centroid,canine__mlm_wiki_to_flores_oldi__oldi_centroid,scn,"fra,ita,spa","cat,ita,spa",2,0.6667
canine,mlm_wiki_to_flores_oldi,oldi/centroid,canine__mlm_wiki_to_flores_oldi__oldi_centroid,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
canine,tlm_oldi_to_flores,flores/centroid,canine__tlm_oldi_to_flores__flores_centroid,fur,"deu,ita,slv","cat,ita,spa",1,0.3333
canine,tlm_oldi_to_flores,flores/centroid,canine__tlm_oldi_to_flores__flores_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
canine,tlm_oldi_to_flores,flores/centroid,canine__tlm_oldi_to_flores__flores_centroid,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
canine,tlm_oldi_to_flores,flores/centroid,canine__tlm_oldi_to_flores__flores_centroid,sc,"cat,ita,spa","cat,fra,spa",2,0.6667
canine,tlm_oldi_to_flores,flores/centroid,canine__tlm_oldi_to_flores__flores_centroid,scn,"fra,ita,spa","cat,ita,spa",2,0.6667
canine,tlm_oldi_to_flores,flores/centroid,canine__tlm_oldi_to_flores__flores_centroid,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
fasttext,wiki_to_flores_oldi,flores/centroid,fasttext__wiki_to_flores_oldi__flores_centroid,fur,"deu,ita,slv","cat,fra,ita",1,0.3333
fasttext,wiki_to_flores_oldi,flores/centroid,fasttext__wiki_to_flores_oldi__flores_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
fasttext,wiki_to_flores_oldi,flores/centroid,fasttext__wiki_to_flores_oldi__flores_centroid,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
fasttext,wiki_to_flores_oldi,flores/centroid,fasttext__wiki_to_flores_oldi__flores_centroid,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
fasttext,wiki_to_flores_oldi,flores/centroid,fasttext__wiki_to_flores_oldi__flores_centroid,scn,"fra,ita,spa","cat,ita,spa",2,0.6667
fasttext,wiki_to_flores_oldi,flores/centroid,fasttext__wiki_to_flores_oldi__flores_centroid,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
fasttext,wiki_to_flores_oldi,oldi/centroid,fasttext__wiki_to_flores_oldi__oldi_centroid,fur,"deu,ita,slv","cat,fra,ita",1,0.3333
fasttext,wiki_to_flores_oldi,oldi/centroid,fasttext__wiki_to_flores_oldi__oldi_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
fasttext,wiki_to_flores_oldi,oldi/centroid,fasttext__wiki_to_flores_oldi__oldi_centroid,lmo,"deu,fra,ita","cat,ita,spa",1,0.3333
fasttext,wiki_to_flores_oldi,oldi/centroid,fasttext__wiki_to_flores_oldi__oldi_centroid,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
fasttext,wiki_to_flores_oldi,oldi/centroid,fasttext__wiki_to_flores_oldi__oldi_centroid,scn,"fra,ita,spa","cat,ita,spa",2,0.6667
fasttext,wiki_to_flores_oldi,oldi/centroid,fasttext__wiki_to_flores_oldi__oldi_centroid,vec,"deu,ita,slv","cat,ita,spa",1,0.3333
fasttext,wiki,bpe,fasttext__wiki__bpe,lmo,"deu,fra,ita",ita,1,0.3333
fasttext,wiki,bpe,fasttext__wiki__bpe,sc,"cat,ita,spa",ita,1,0.3333
fasttext,wiki,bpe,fasttext__wiki__bpe,scn,"fra,ita,spa",ita,1,0.3333
fasttext,wiki,bpe,fasttext__wiki__bpe,vec,"deu,ita,slv",ita,1,0.3333
fasttext,wiki,fasttext,fasttext__wiki__fasttext,lmo,"deu,fra,ita",ita,1,0.3333
fasttext,wiki,fasttext,fasttext__wiki__fasttext,sc,"cat,ita,spa",ita,1,0.3333
fasttext,wiki,fasttext,fasttext__wiki__fasttext,scn,"fra,ita,spa",ita,1,0.3333
fasttext,wiki,fasttext,fasttext__wiki__fasttext,vec,"deu,ita,slv",ita,1,0.3333
multilingual_xlmr,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,fur,"deu,ita,slv","cat,fra,slv",1,0.3333
multilingual_xlmr,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
multilingual_xlmr,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,lmo,"deu,fra,ita","cat,fra,slv",1,0.3333
multilingual_xlmr,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,sc,"cat,ita,spa","cat,fra,spa",2,0.6667
multilingual_xlmr,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,scn,"fra,ita,spa","deu,ita,slv",1,0.3333
multilingual_xlmr,mlm_wiki_then_tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__mlm_wiki_then_tlm_oldi_to_flores__flores_centroid,vec,"deu,ita,slv","ita,slv,spa",2,0.6667
multilingual_xlmr,mlm_wiki_to_flores_oldi,flores/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__flores_centroid,fur,"deu,ita,slv","cat,deu,fra",1,0.3333
multilingual_xlmr,mlm_wiki_to_flores_oldi,flores/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__flores_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
multilingual_xlmr,mlm_wiki_to_flores_oldi,flores/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__flores_centroid,lmo,"deu,fra,ita","cat,deu,slv",1,0.3333
multilingual_xlmr,mlm_wiki_to_flores_oldi,flores/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__flores_centroid,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
multilingual_xlmr,mlm_wiki_to_flores_oldi,flores/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__flores_centroid,scn,"fra,ita,spa","deu,ita,slv",1,0.3333
multilingual_xlmr,mlm_wiki_to_flores_oldi,flores/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__flores_centroid,vec,"deu,ita,slv","ita,slv,spa",2,0.6667
multilingual_xlmr,mlm_wiki_to_flores_oldi,oldi/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__oldi_centroid,fur,"deu,ita,slv","cat,deu,fra",1,0.3333
multilingual_xlmr,mlm_wiki_to_flores_oldi,oldi/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__oldi_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
multilingual_xlmr,mlm_wiki_to_flores_oldi,oldi/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__oldi_centroid,lmo,"deu,fra,ita","cat,deu,slv",1,0.3333
multilingual_xlmr,mlm_wiki_to_flores_oldi,oldi/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__oldi_centroid,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
multilingual_xlmr,mlm_wiki_to_flores_oldi,oldi/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__oldi_centroid,scn,"fra,ita,spa","deu,ita,slv",1,0.3333
multilingual_xlmr,mlm_wiki_to_flores_oldi,oldi/centroid,multilingual_xlmr__mlm_wiki_to_flores_oldi__oldi_centroid,vec,"deu,ita,slv","ita,slv,spa",2,0.6667
multilingual_xlmr,tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__tlm_oldi_to_flores__flores_centroid,fur,"deu,ita,slv","deu,eng,fra",1,0.3333
multilingual_xlmr,tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__tlm_oldi_to_flores__flores_centroid,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
multilingual_xlmr,tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__tlm_oldi_to_flores__flores_centroid,lmo,"deu,fra,ita","cat,deu,fra",2,0.6667
multilingual_xlmr,tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__tlm_oldi_to_flores__flores_centroid,sc,"cat,ita,spa","deu,eng,spa",1,0.3333
multilingual_xlmr,tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__tlm_oldi_to_flores__flores_centroid,scn,"fra,ita,spa","deu,ita,slv",1,0.3333
multilingual_xlmr,tlm_oldi_to_flores,flores/centroid,multilingual_xlmr__tlm_oldi_to_flores__flores_centroid,vec,"deu,ita,slv","cat,slv,spa",1,0.3333
sentence_minilm,mnrl_oldi_to_flores,flores/centroid,sentence_minilm__mnrl_oldi_to_flores__flores_centroid,fur,"deu,ita,slv","cat,fra,spa",0,0.0000
sentence_minilm,mnrl_oldi_to_flores,flores/centroid,sentence_minilm__mnrl_oldi_to_flores__flores_centroid,lij,"fra,ita,spa","fra,ita,spa",3,1.0000
sentence_minilm,mnrl_oldi_to_flores,flores/centroid,sentence_minilm__mnrl_oldi_to_flores__flores_centroid,lmo,"deu,fra,ita","cat,fra,ita",2,0.6667
sentence_minilm,mnrl_oldi_to_flores,flores/centroid,sentence_minilm__mnrl_oldi_to_flores__flores_centroid,sc,"cat,ita,spa","cat,fra,spa",2,0.6667
sentence_minilm,mnrl_oldi_to_flores,flores/centroid,sentence_minilm__mnrl_oldi_to_flores__flores_centroid,scn,"fra,ita,spa","cat,fra,ita",2,0.6667
sentence_minilm,mnrl_oldi_to_flores,flores/centroid,sentence_minilm__mnrl_oldi_to_flores__flores_centroid,vec,"deu,ita,slv","cat,fra,spa",0,0.0000
sentence_minilm,wiki,sentence,sentence_minilm__wiki__sentence,lmo,"deu,fra,ita",ita,1,0.3333
sentence_minilm,wiki,sentence,sentence_minilm__wiki__sentence,sc,"cat,ita,spa",ita,1,0.3333
sentence_minilm,wiki,sentence,sentence_minilm__wiki__sentence,scn,"fra,ita,spa",ita,1,0.3333
sentence_minilm,wiki,sentence,sentence_minilm__wiki__sentence,vec,"deu,ita,slv",ita,1,0.3333
tfidf,wiki_only,char,tfidf__wiki_only__char,fur,"deu,ita,slv","cat,ita,spa",1,0.3333
tfidf,wiki_only,char,tfidf__wiki_only__char,lij,"fra,ita,spa","cat,ita,spa",2,0.6667
tfidf,wiki_only,char,tfidf__wiki_only__char,lmo,"deu,fra,ita","fra,ita,spa",2,0.6667
tfidf,wiki_only,char,tfidf__wiki_only__char,sc,"cat,ita,spa","cat,ita,spa",3,1.0000
tfidf,wiki_only,char,tfidf__wiki_only__char,scn,"fra,ita,spa","fra,ita,spa",3,1.0000
