,lmo,scn,ita,fra,cat,por,oci,eng,slv,hun
lmo,0.0,0.06593406593406594,0.08854166666666667,0.19170984455958548,0.09895833333333333,0.08808290155440414,0.06951871657754011,0.23834196891191708,0.2094240837696335,0.3048128342245989
scn,0.06593406593406594,0.0,0.09340659340659341,0.17032967032967034,0.0989010989010989,0.08791208791208792,0.07777777777777778,0.24725274725274726,0.19230769230769232,0.3107344632768362
ita,0.08854166666666667,0.09340659340659341,0.0,0.18041237113402062,0.12435233160621761,0.061855670103092786,0.06914893617021277,0.23711340206185566,0.24479166666666666,0.31382978723404253
fra,0.19170984455958548,0.17032967032967034,0.18041237113402062,0.0,0.211340206185567,0.1794871794871795,0.16489361702127658,0.23979591836734693,0.27461139896373055,0.3263157894736842
cat,0.09895833333333333,0.0989010989010989,0.12435233160621761,0.211340206185567,0.0,0.09326424870466321,0.0855614973262032,0.24742268041237114,0.18652849740932642,0.3191489361702128
por,0.08808290155440414,0.08791208791208792,0.061855670103092786,0.1794871794871795,0.09326424870466321,0.0,0.05851063829787234,0.2358974358974359,0.22395833333333334,0.31216931216931215
oci,0.06951871657754011,0.07777777777777778,0.06914893617021277,0.16489361702127658,0.0855614973262032,0.05851063829787234,0.0,0.22872340425531915,0.1989247311827957,0.3076923076923077
eng,0.23834196891191708,0.24725274725274726,0.23711340206185566,0.23979591836734693,0.24742268041237114,0.2358974358974359,0.22872340425531915,0.0,0.2694300518134715,0.2736842105263158
slv,0.2094240837696335,0.19230769230769232,0.24479166666666666,0.27461139896373055,0.18652849740932642,0.22395833333333334,0.1989247311827957,0.2694300518134715,0.0,0.30319148936170215
hun,0.3048128342245989,0.3107344632768362,0.31382978723404253,0.3263157894736842,0.3191489361702128,0.31216931216931215,0.3076923076923077,0.2736842105263158,0.30319148936170215,0.0
