,ar,ca,de,el,en,es,fr,ita,lmo,nap,sc,scn,sl,vec
ar,1.0000001,0.5320962,0.44340417,0.5047444,0.36690208,0.43291253,0.4345933,0.36995867,0.38853708,0.3818074,0.41150633,0.40981948,0.39483383,0.36121038
ca,0.5320962,0.9999999,0.48652694,0.50148344,0.6343618,0.8069976,0.7293881,0.7293302,0.78368115,0.65363204,0.671717,0.6363356,0.57244205,0.74632776
de,0.44340417,0.48652694,1.0,0.33267683,0.5971239,0.56037426,0.56665397,0.5341455,0.47852236,0.43600106,0.41862863,0.43765894,0.48584923,0.42821926
el,0.5047444,0.50148344,0.33267683,0.99999964,0.46427962,0.5698072,0.5463235,0.54164714,0.4950651,0.45894906,0.48217276,0.44054058,0.4957792,0.4634929
en,0.36690208,0.6343618,0.5971239,0.46427962,0.9999999,0.67826176,0.6783422,0.67564887,0.5843806,0.5433853,0.54524034,0.5407647,0.5639087,0.5620187
es,0.43291253,0.8069976,0.56037426,0.5698072,0.67826176,1.0000002,0.7315107,0.7805091,0.7775369,0.6769173,0.71305907,0.624593,0.6041836,0.78071773
fr,0.4345933,0.7293881,0.56665397,0.5463235,0.6783422,0.7315107,1.0000001,0.70645547,0.6744875,0.5980979,0.5929759,0.574315,0.5546869,0.64608926
ita,0.36995867,0.7293302,0.5341455,0.54164714,0.67564887,0.7805091,0.70645547,0.9999999,0.7927116,0.8015066,0.6933706,0.750863,0.5458118,0.8227861
lmo,0.38853708,0.78368115,0.47852236,0.4950651,0.5843806,0.7775369,0.6744875,0.7927116,1.0000002,0.75782615,0.69035053,0.67916036,0.54817885,0.89199996
nap,0.3818074,0.65363204,0.43600106,0.45894906,0.5433853,0.6769173,0.5980979,0.8015066,0.75782615,0.99999994,0.648524,0.8322595,0.49762565,0.7684759
sc,0.41150633,0.671717,0.41862863,0.48217276,0.54524034,0.71305907,0.5929759,0.6933706,0.69035053,0.648524,0.9999999,0.6636138,0.4727073,0.6695473
scn,0.40981948,0.6363356,0.43765894,0.44054058,0.5407647,0.624593,0.574315,0.750863,0.67916036,0.8322595,0.6636138,1.0000001,0.45132166,0.6631513
sl,0.39483383,0.57244205,0.48584923,0.4957792,0.5639087,0.6041836,0.5546869,0.5458118,0.54817885,0.49762565,0.4727073,0.45132166,1.0,0.5487063
vec,0.36121038,0.74632776,0.42821926,0.4634929,0.5620187,0.78071773,0.64608926,0.8227861,0.89199996,0.7684759,0.6695473,0.6631513,0.5487063,1.0000001
